No         Predictions            Accuracy [%]
75         (1 0 2 3 2 1 1)              98.872
76         (1 0 3 1 1 1 1)              98.887
77         (1 0 0 0 2 2 1)              98.901
78         (1 0 1 2 1 1 1)              98.915
79         (1 0 1 2 1 1 1)              98.929
80         (1 0 2 3 2 1 2)              98.942
81         (1 0 0 0 1 2 0)              98.955
82         (1 0 2 3 1 2 1)              98.967
83         (1 0 3 1 2 1 2)              98.980
84         (1 0 3 1 2 1 2)              98.992
85         (1 0 1 2 1 1 1)              99.003
86         (1 0 3 1 2 1 2)              99.015
87         (1 0 3 1 2 1 2)              99.026
88         (1 0 3 1 2 1 2)              99.037
89         (1 0 2 3 2 1 2)              99.048
90         (1 0 3 1 1 1 1)              99.058
91         (1 0 3 1 2 1 2)              99.068
92         (1 0 2 3 1 1 1)              99.078
93         (1 0 1 2 1 1 1)              99.088
94         (1 0 1 2 1 1 1)              99.098
95         (1 0 1 2 1 1 1)              99.107
96         (1 0 3 1 2 1 2)              99.116
97         (1 0 2 3 2 1 2)              99.125
98         (1 0 2 3 2 1 1)              99.134
99         (1 0 3 1 2 1 2)              99.143
100        (1 0 1 2 1 2 1)              99.151
101        (1 0 2 3 2 1 2)              99.160
102        (1 0 0 0 2 2 1)              99.168
103        (1 0 1 2 1 1 1)              99.176
104        (1 0 2 3 2 1 2)              99.184
105        (1 0 2 3 2 1 2)              99.191
106        (1 0 1 2 1 1 1)              99.199
107        (1 0 3 1 2 1 2)              99.206
108        (1 0 3 1 2 1 2)              99.214
109        (1 0 1 2 0 0 1)              99.221
110        (1 0 1 2 1 1 1)              99.228
111        (1 0 1 2 1 1 1)              99.235
112        (1 0 2 3 2 1 2)              99.241
113        (1 0 3 1 2 1 2)              99.123
114        (1 0 0 0 1 2 1)              99.130
115        (1 0 2 3 2 1 2)              99.138
116        (1 0 1 2 0 0 1)              99.145
117        (1 0 0 0 1 2 0)              99.153
118        (1 0 3 1 2 1 1)              99.040
119        (1 0 3 1 2 1 2)              99.048
120        (1 0 2 3 2 1 2)              99.055
121        (1 0 2 3 2 1 2)              99.063
122        (1 0 3 1 0 1 1)              98.955
123        (1 0 1 2 1 1 1)              98.963
124        (1 0 2 3 1 2 1)              98.971
125        (1 0 1 2 1 1 1)              98.980
126        (1 0 1 2 1 1 1)              98.988
127        (1 0 2 3 2 1 2)              98.996
128        (1 0 0 0 2 2 1)              99.003
129        (1 0 3 1 2 1 2)              98.901
130        (1 0 2 3 2 1 2)              98.909
131        (1 0 2 3 1 2 1)              98.918
132        (1 0 1 2 1 2 1)              98.926
133        (1 0 2 3 2 1 2)              98.934
134        (1 0 3 1 1 1 1)              98.942
135        (1 0 2 3 2 1 2)              98.950
136        (1 0 1 2 1 1 1)              98.957
137        (1 0 2 3 2 1 1)              98.965
138        (1 0 2 3 2 1 2)              98.972
139        (1 0 1 2 0 0 1)              98.980
140        (1 0 3 1 2 1 2)              98.987
141        (1 0 1 2 1 1 1)              98.994
142        (1 0 1 2 1 1 1)              99.001
143        (1 0 2 3 1 2 1)              99.008
144        (1 0 2 3 2 1 2)              99.015
145        (1 0 2 3 2 1 2)              99.022
146        (1 0 3 1 2 1 2)              99.028
147        (1 0 2 3 2 1 1)              99.035
148        (1 0 0 0 2 2 1)              99.041
149        (1 0 1 2 1 1 1)              99.048
150        (1 0 3 1 2 1 2)              99.054
151        (1 0 1 2 1 1 1)              99.060
152        (1 0 3 1 2 1 2)              99.066
153        (1 0 3 1 2 1 2)              98.980
154        (1 0 2 3 2 1 2)              98.986
155        (1 0 2 3 1 2 1)              98.993
156        (1 0 1 2 1 1 1)              98.999
157        (1 0 0 0 2 2 1)              99.005
158        (1 0 1 2 1 1 1)              99.012
159        (1 0 2 3 2 1 2)              99.018
160        (1 0 1 2 2 2 1)              99.024
161        (1 0 3 1 2 1 2)              99.030
162        (1 0 2 3 2 1 1)              99.036
163        (1 0 2 3 2 1 2)              99.042
164        (1 0 2 3 2 1 2)              99.048
165        (1 0 2 3 2 1 2)              99.053
166        (1 0 1 2 1 2 0)              99.059
167        (1 0 2 3 2 1 2)              99.065
168        (1 0 3 1 2 1 2)              99.070
169        (1 0 3 1 2 1 2)              99.076
170        (1 0 0 0 1 2 0)              99.081
171        (1 0 2 3 2 1 2)              99.086
172        (1 0 1 2 1 1 1)              99.092
173        (1 0 2 3 1 2 1)              99.097
174        (1 0 3 1 2 1 2)              99.102
175        (1 0 2 3 2 1 2)              99.107
177        (1 0 1 2 1 1 1)              99.112
178        (1 0 2 3 2 1 2)              99.117
179        (1 0 1 2 1 1 1)              99.122
180        (1 0 3 1 2 1 2)              99.127
181        (1 0 3 1 2 1 2)              99.132
182        (1 0 3 1 2 1 2)              99.058
183        (1 0 1 2 0 0 1)              99.063
184        (1 0 2 3 2 1 2)              98.913
185        (1 0 1 2 1 1 1)              98.919
186        (1 0 1 2 1 1 1)              98.925
187        (1 0 2 3 2 1 2)              98.930
188        (1 0 2 3 2 1 1)              98.936
189        (1 0 2 3 2 1 2)              98.942
190        (1 0 1 2 1 1 1)              98.947
191        (1 0 2 3 2 1 2)              98.953
192        (1 0 3 1 2 1 1)              98.884
193        (1 0 2 3 2 1 2)              98.890
194        (1 0 0 0 2 2 1)              98.895
195        (1 0 3 1 1 1 1)              98.901
196        (1 0 1 2 1 1 1)              98.907
197        (1 0 2 3 2 1 2)              98.912
198        (1 0 1 2 1 1 1)              98.918
199        (1 0 2 3 2 1 2)              98.923
200        (1 0 2 3 2 1 2)              98.929
201        (1 0 2 3 2 1 2)              98.934
202        (1 0 1 2 1 1 1)              98.939
203        (1 0 1 2 1 1 1)              98.944
204        (1 0 1 2 1 1 1)              98.950
205        (1 0 1 2 1 1 1)              98.955
206        (1 0 2 3 2 1 2)              98.960
207        (1 0 0 0 1 0 1)              98.965
208        (1 0 3 1 2 1 1)              98.970
209        (1 0 0 0 1 2 0)              98.975
210        (1 0 2 3 2 1 2)              98.980
211        (1 0 2 3 2 1 1)              98.984
212        (1 0 3 1 2 1 2)              98.989
213        (1 0 2 3 2 1 2)              98.994
214        (1 0 2 3 2 1 2)              98.999
215        (1 0 3 1 2 1 1)              98.937
216        (1 0 3 1 2 1 2)              98.942
217        (1 0 2 3 2 1 2)              98.947
218        (1 0 1 2 1 1 1)              98.952
219        (1 0 2 3 2 1 2)              98.956
220        (1 0 2 3 2 1 2)              98.961
221        (1 0 2 3 1 2 1)              98.966
222        (1 0 3 1 2 1 2)              98.906
223        (1 0 3 1 2 1 2)              98.911
224        (1 0 3 1 2 1 2)              98.916
225        (1 0 2 3 1 1 1)              98.921
226        (1 0 2 3 1 2 1)              98.925
227        (1 0 2 3 2 1 2)              98.930
228        (1 0 3 1 2 1 2)              98.935
229        (1 0 3 1 2 1 2)              98.939
230        (1 0 2 3 2 1 2)              98.944
231        (1 0 1 2 1 1 1)              98.949
232        (1 0 2 3 2 1 2)              98.953
233        (1 0 3 1 2 1 2)              98.896
234        (1 0 2 3 2 1 2)              98.901
235        (1 0 1 2 1 2 1)              98.906
236        (1 0 2 3 2 1 2)              98.910
238        (1 0 2 3 2 1 1)              98.915
239        (1 0 2 3 2 1 2)              98.920
240        (1 0 2 3 2 1 2)              98.924
241        (1 0 2 3 0 0 0)              98.810
242        (1 0 1 2 1 1 1)              98.814
243        (1 0 3 1 1 1 1)              98.819
244        (1 0 2 3 2 1 1)              98.824
245        (1 0 3 1 2 1 2)              98.829
246        (1 0 1 2 1 1 1)              98.834
247        (1 0 2 3 2 1 2)              98.839
248        (1 0 2 3 2 1 1)              98.843
249        (1 0 3 1 2 1 2)              98.848
250        (1 0 3 1 2 1 1)              98.853
251        (1 0 3 1 2 1 2)              98.857
252        (1 0 2 3 2 1 2)              98.862
253        (1 0 2 3 2 1 2)              98.866
254        (1 0 1 2 1 1 1)              98.871
255        (1 0 2 3 2 1 2)              98.875
256        (1 0 3 1 2 1 1)              98.880
257        (1 0 3 1 2 1 2)              98.884
258        (1 0 2 3 2 1 2)              98.888
259        (1 0 1 2 1 1 1)              98.893
260        (1 0 3 1 2 1 2)              98.897
261        (1 0 2 3 2 1 2)              98.901
262        (1 0 2 3 2 1 2)              98.905
263        (1 0 2 3 2 1 2)              98.909
264        (1 0 2 3 2 1 2)              98.914
265        (1 0 2 3 1 2 1)              98.918
266        (1 0 3 1 2 1 2)              98.922
267        (1 0 2 3 2 1 2)              98.926
268        (1 0 1 2 1 2 0)              98.930
269        (1 0 0 0 2 2 1)              98.934
270        (1 0 3 1 2 1 2)              98.938
271        (1 0 2 3 1 1 1)              98.836
272        (1 0 2 3 2 1 2)              98.840
273        (1 0 3 1 2 1 1)              98.792
274        (1 0 2 3 2 1 2)              98.796
275        (1 0 3 1 2 1 2)              98.801
276        (1 0 3 1 2 1 2)              98.805
277        (1 0 3 1 2 1 2)              98.810
278        (1 0 3 1 2 1 2)              98.762
279        (1 0 3 1 2 1 2)              98.767
280        (1 0 0 0 1 0 1)              98.771
281        (1 0 2 3 2 1 1)              98.724
282        (1 0 2 3 2 1 2)              98.729
284        (1 0 3 1 2 1 2)              98.734
286        (1 0 2 3 2 1 2)              98.738
287        (1 0 1 2 1 1 1)              98.742
288        (1 0 1 2 1 1 1)              98.747
289        (1 0 2 3 2 1 2)              98.751
290        (1 0 1 2 1 1 1)              98.756
291        (1 0 3 1 2 1 2)              98.760
292        (1 0 3 1 1 1 1)              98.764
293        (1 0 3 1 2 1 2)              98.768
294        (1 0 1 2 1 1 1)              98.773
295        (1 0 2 3 2 1 2)              98.777
296        (1 0 2 3 2 1 2)              98.781
297        (1 0 1 2 1 1 1)              98.785
298        (1 0 1 2 1 1 1)              98.789
300        (1 0 1 2 1 1 1)              98.793
301        (1 0 2 3 2 1 2)              98.797
302        (1 0 3 1 2 1 2)              98.802
303        (1 0 2 3 2 1 1)              98.758
304        (1 0 3 1 1 1 1)              98.762
305        (1 0 3 1 2 1 2)              98.719
306        (1 0 1 2 1 1 1)              98.723
307        (1 0 2 3 2 1 2)              98.727
308        (1 0 2 3 2 1 2)              98.731
309        (1 0 3 1 2 1 2)              98.735
310        (1 0 1 2 1 1 1)              98.739
311        (1 0 2 3 2 1 2)              98.744
312        (1 0 1 2 0 0 1)              98.748
313        (1 0 2 3 2 1 2)              98.752
314        (1 0 2 3 2 2 1)              98.756
315        (1 0 2 3 2 1 2)              98.760
316        (1 0 3 1 2 1 2)              98.764
317        (1 0 0 0 2 2 1)              98.768
318        (1 0 2 3 2 1 2)              98.772
319        (1 0 3 1 2 1 2)              98.776
320        (1 0 0 0 1 2 0)              98.779
321        (1 0 2 3 2 1 2)              98.783
322        (1 0 3 1 2 1 2)              98.742
323        (1 0 2 3 2 1 1)              98.701
324        (1 0 2 3 2 1 2)              98.705
325        (1 0 2 3 2 1 2)              98.709
326        (1 0 2 3 2 1 1)              98.713
327        (1 0 2 3 2 1 2)              98.717
328        (1 0 1 2 1 1 1)              98.721
329        (1 0 2 3 2 1 2)              98.725
330        (1 0 3 1 2 1 2)              98.685
331        (1 0 3 1 2 1 2)              98.689
332        (1 0 2 3 1 1 1)              98.693
333        (1 0 1 2 1 2 1)              98.697
334        (1 0 2 3 2 1 2)              98.701
335        (1 0 1 2 1 1 1)              98.705
336        (1 0 2 3 1 2 1)              98.709
337        (1 0 0 0 2 2 1)              98.713
338        (1 0 3 1 2 1 2)              98.717
339        (1 0 2 3 2 1 2)              98.721
340        (1 0 2 3 2 1 2)              98.724
341        (1 0 2 3 2 1 2)              98.728
342        (1 0 2 3 2 1 2)              98.732
343        (1 0 3 1 2 1 1)              98.694
344        (1 0 1 2 1 1 1)              98.697
345        (1 0 2 3 2 1 2)              98.701
346        (1 0 2 3 2 1 2)              98.705
347        (1 0 3 1 2 1 2)              98.709
348        (1 0 2 3 2 1 2)              98.713
349        (1 0 2 3 2 1 2)              98.716
350        (1 0 3 1 2 1 1)              98.679
351        (1 0 3 1 2 1 2)              98.683
352        (1 0 3 1 2 1 2)              98.686
353        (1 0 3 1 2 1 2)              98.690
354        (1 0 2 3 2 1 2)              98.694
355        (1 0 3 1 1 1 1)              98.698
356        (1 0 3 1 2 1 2)              98.701
357        (1 0 3 1 2 1 2)              98.705
358        (1 0 3 1 1 1 1)              98.709
359        (1 0 3 1 2 1 2)              98.712
360        (1 0 2 3 1 2 1)              98.716
361        (1 0 2 3 2 1 2)              98.719
362        (1 0 1 2 1 1 1)              98.723
363        (1 0 2 3 2 1 2)              98.727
364        (1 0 2 3 2 1 1)              98.690
365        (1 0 3 1 1 2 1)              98.694
366        (1 0 2 3 2 1 2)              98.698
367        (1 0 3 1 2 1 2)              98.701
368        (1 0 0 0 2 2 1)              98.705
369        (1 0 1 2 1 1 1)              98.708
370        (1 0 3 1 2 1 2)              98.712
371        (1 0 1 2 1 1 1)              98.715
372        (1 0 2 3 2 1 1)              98.680
373        (1 0 2 3 2 2 1)              98.684
374        (1 0 1 2 1 1 1)              98.687
375        (1 0 2 3 2 1 2)              98.691
376        (1 0 2 3 1 2 1)              98.694
377        (1 0 1 2 1 1 1)              98.698
378        (1 0 2 3 1 1 1)              98.701
379        (1 0 2 3 2 1 2)              98.705
380        (1 0 1 2 1 1 1)              98.708
381        (1 0 2 3 2 1 2)              98.712
382        (1 0 1 2 1 1 1)              98.715
383        (1 0 2 3 2 1 2)              98.718
384        (1 0 2 3 2 1 2)              98.684
385        (1 0 2 3 2 1 2)              98.688
386        (1 0 3 1 2 1 2)              98.691
387        (1 0 2 3 2 1 2)              98.695
388        (1 0 2 3 2 1 2)              98.698
389        (1 0 2 3 2 1 2)              98.701
390        (1 0 2 3 2 1 1)              98.705
391        (1 0 3 1 1 1 1)              98.708
392        (1 0 3 1 1 1 1)              98.711
393        (1 0 3 1 2 1 2)              98.715
394        (1 0 3 1 2 1 2)              98.718
395        (1 0 1 0 1 0 1)              98.612
396        (1 0 2 3 2 1 2)              98.615
397        (1 0 3 1 2 1 2)              98.619
398        (1 0 3 1 2 1 2)              98.586
399        (1 0 3 1 2 1 2)              98.590
400        (1 0 3 1 2 1 2)              98.593
401        (1 0 3 1 2 1 1)              98.597
402        (1 0 2 3 2 1 2)              98.600
403        (1 0 2 3 2 1 2)              98.604
404        (1 0 2 3 2 1 2)              98.607
405        (1 0 3 1 2 1 2)              98.611
406        (1 0 3 1 1 1 1)              98.614
407        (1 0 3 1 2 1 2)              98.618
408        (1 0 2 3 2 1 2)              98.621
409        (1 0 2 3 1 2 1)              98.624
410        (1 0 2 3 2 1 2)              98.628
411        (1 0 2 3 2 1 2)              98.631
412        (1 0 2 3 2 1 2)              98.634
413        (1 0 1 2 1 2 1)              98.638
414        (1 0 3 1 2 1 2)              98.641
415        (1 0 1 2 1 1 1)              98.644
416        (1 0 3 1 2 1 2)              98.648
417        (1 0 2 3 1 2 0)              98.651
418        (1 0 2 3 2 1 2)              98.654
419        (1 0 3 1 2 1 2)              98.657
420        (1 0 3 1 2 1 2)              98.661
421        (1 0 1 2 1 1 1)              98.664
423        (1 0 2 3 2 1 2)              98.667
424        (1 0 2 3 2 1 2)              98.670
425        (1 0 2 3 2 1 1)              98.673
426        (1 0 3 1 2 1 1)              98.677
427        (1 0 1 2 1 1 1)              98.680
428        (1 0 3 1 2 1 1)              98.683
429        (1 0 1 2 1 1 1)              98.686
430        (1 0 2 3 2 1 1)              98.689
431        (1 0 0 0 2 2 1)              98.692
432        (1 0 1 2 1 1 1)              98.695
433        (1 0 1 2 1 1 1)              98.698
434        (1 0 2 3 2 1 2)              98.701
435        (1 0 2 3 2 1 2)              98.704
436        (1 0 1 2 1 1 1)              98.707
437        (1 0 2 3 2 1 2)              98.710
438        (1 0 2 3 2 1 2)              98.713
439        (1 0 2 3 2 1 2)              98.716
440        (1 0 3 1 1 1 1)              98.719
441        (1 0 2 3 2 1 2)              98.722
442        (1 0 1 2 2 2 1)              98.725
443        (1 0 2 3 1 1 1)              98.728
444        (1 0 3 1 2 1 2)              98.731
445        (1 0 2 3 2 1 2)              98.734
446        (1 0 2 3 1 1 1)              98.737
447        (1 0 2 3 2 1 2)              98.739
448        (1 0 2 3 2 1 1)              98.742
449        (1 0 2 3 2 1 2)              98.745
450        (1 0 2 3 2 1 1)              98.716
451        (1 0 2 3 2 1 2)              98.719
452        (1 0 2 3 2 1 2)              98.722
453        (1 0 1 2 1 2 1)              98.724
454        (1 0 1 2 1 1 1)              98.727
455        (1 0 1 2 1 1 1)              98.730
456        (1 0 2 3 1 2 1)              98.701
457        (1 0 2 3 1 1 1)              98.704
458        (1 0 2 3 2 1 2)              98.707
459        (1 0 1 2 1 2 0)              98.710
460        (1 0 2 3 2 1 2)              98.713
461        (1 0 2 3 2 1 2)              98.716
462        (1 0 2 3 2 1 2)              98.718
463        (1 0 2 3 2 1 2)              98.721
464        (1 0 2 3 2 1 2)              98.724
465        (1 0 1 2 1 1 1)              98.727
466        (1 0 2 3 2 1 2)              98.729
467        (1 0 2 3 2 2 1)              98.732
468        (1 0 3 1 2 1 2)              98.735
469        (1 0 2 3 2 1 2)              98.738
470        (1 0 3 1 2 1 2)              98.740
471        (1 0 2 3 2 1 2)              98.743
472        (1 0 1 2 1 1 1)              98.746
473        (1 0 2 3 2 1 1)              98.748
474        (1 0 2 3 2 1 1)              98.751
475        (1 0 3 1 2 1 2)              98.723
476        (1 0 3 1 2 1 2)              98.726
477        (1 0 3 1 2 1 2)              98.729
478        (1 0 3 1 2 1 2)              98.732
479        (1 0 3 1 2 1 2)              98.734
480        (1 0 2 3 2 1 2)              98.737
481        (1 0 2 3 2 1 2)              98.739
482        (1 0 3 1 2 1 2)              98.712
483        (1 0 1 2 1 1 1)              98.715
484        (1 0 2 3 2 1 2)              98.718
485        (1 0 3 1 2 1 2)              98.720
486        (1 0 2 3 1 2 1)              98.723
487        (1 0 3 1 2 1 2)              98.726
488        (1 0 1 2 1 1 1)              98.728
489        (1 0 3 1 1 1 1)              98.731
490        (1 0 2 3 1 1 1)              98.675
491        (1 0 2 3 1 2 1)              98.677
492        (1 0 2 3 1 2 1)              98.680
493        (1 0 2 3 1 1 1)              98.683
494        (1 0 2 3 2 1 2)              98.685
495        (1 0 3 1 2 1 2)              98.688
496        (1 0 2 3 2 1 2)              98.691
497        (1 0 2 3 2 1 1)              98.693
498        (1 0 2 3 1 1 1)              98.638
499        (1 0 1 2 1 1 1)              98.641
500        (1 0 3 1 2 1 2)              98.615
501        (1 0 2 3 2 1 2)              98.618
502        (1 0 0 0 2 2 1)              98.620
503        (1 0 2 3 2 1 2)              98.623
504        (1 0 2 3 1 2 1)              98.626
505        (1 0 2 3 2 1 2)              98.629
506        (1 0 2 3 2 1 2)              98.631
507        (1 0 2 3 2 1 2)              98.634
508        (1 0 3 1 2 1 2)              98.637
509        (1 0 2 3 2 1 2)              98.639
510        (1 0 1 2 1 1 1)              98.642
511        (1 0 2 3 1 2 1)              98.645
512        (1 0 1 2 1 1 1)              98.648
513        (1 0 2 3 2 1 2)              98.650
514        (1 0 3 1 2 1 2)              98.653
515        (1 0 3 1 2 1 2)              98.655
516        (1 0 2 3 2 2 1)              98.658
517        (1 0 3 1 2 1 2)              98.661
518        (1 0 2 3 2 1 2)              98.663
519        (1 0 3 1 2 1 1)              98.666
520        (1 0 3 1 1 1 1)              98.669
521        (1 0 2 3 2 1 2)              98.671
522        (1 0 3 1 1 1 1)              98.674
523        (1 0 3 1 2 1 2)              98.676
524        (1 0 3 1 2 1 1)              98.679
525        (1 0 3 1 2 1 2)              98.681
526        (1 0 3 1 2 1 2)              98.684
527        (1 0 2 3 2 1 2)              98.686
528        (1 0 0 0 2 2 1)              98.689
529        (1 0 1 2 1 1 1)              98.691
530        (1 0 2 3 2 1 2)              98.694
531        (1 0 2 3 2 1 2)              98.696
532        (1 0 1 2 1 1 1)              98.699
533        (1 0 3 1 2 1 2)              98.701
534        (1 0 1 2 1 2 1)              98.677
535        (1 0 2 3 2 1 2)              98.679
536        (1 0 2 3 2 1 2)              98.682
537        (1 0 2 3 1 1 1)              98.684
538        (1 0 1 2 1 1 1)              98.687
539        (1 0 3 1 2 1 2)              98.689
540        (1 0 1 2 1 1 1)              98.692
541        (1 0 3 1 2 1 2)              98.694
542        (1 0 2 3 2 1 1)              98.670
543        (1 0 1 2 0 0 1)              98.672
544        (1 0 2 3 2 1 2)              98.675
545        (1 0 2 3 2 1 2)              98.677
546        (1 0 2 3 2 1 1)              98.680
547        (1 0 2 3 2 1 2)              98.682
548        (1 0 3 1 2 1 2)              98.685
549        (1 0 1 2 0 0 1)              98.687
550        (1 0 3 1 2 1 2)              98.663
551        (1 0 1 2 1 1 1)              98.666
552        (1 0 1 2 1 1 1)              98.668
553        (1 0 2 3 1 0 1)              98.670
554        (1 0 3 1 1 1 1)              98.673
555        (1 0 2 3 2 1 2)              98.675
556        (1 0 1 2 1 2 0)              98.678
557        (1 0 2 3 2 1 2)              98.680
558        (1 0 3 1 2 1 2)              98.683
559        (1 0 2 3 2 1 2)              98.685
560        (1 0 2 3 2 1 2)              98.687
561        (1 0 2 3 2 1 2)              98.690
562        (1 0 1 2 2 1 2)              98.641
563        (1 0 2 3 1 1 1)              98.643
564        (1 0 2 3 2 1 2)              98.646
565        (1 0 2 3 2 1 2)              98.648
566        (1 0 2 3 2 1 2)              98.650
567        (1 0 3 1 2 1 2)              98.653
568        (1 0 3 1 1 1 1)              98.655
569        (1 0 2 3 1 1 1)              98.658
570        (1 0 3 1 2 1 2)              98.660
571        (1 0 1 2 1 1 1)              98.662
572        (1 0 2 3 2 1 2)              98.665
573        (1 0 2 3 2 1 2)              98.667
574        (1 0 2 3 2 1 2)              98.669
575        (1 0 2 3 2 1 2)              98.672
576        (1 0 2 3 2 1 2)              98.674
577        (1 0 1 2 1 1 1)              98.676
578        (1 0 2 3 1 1 1)              98.679
579        (1 0 3 1 2 1 2)              98.681
580        (1 0 3 1 2 1 2)              98.683
581        (1 0 3 1 2 1 2)              98.686
582        (1 0 2 3 2 1 2)              98.688
583        (1 0 2 3 1 2 1)              98.690
584        (1 0 2 3 2 1 2)              98.692
585        (1 0 2 3 2 1 2)              98.695
586        (1 0 2 3 2 1 2)              98.697
587        (1 0 3 1 2 1 2)              98.699
588        (1 0 2 3 2 1 2)              98.701
589        (1 0 2 3 1 2 1)              98.679
590        (1 0 2 3 1 2 1)              98.657
591        (1 0 2 3 2 1 2)              98.659
592        (1 0 3 1 2 1 2)              98.661
593        (1 0 2 3 2 1 2)              98.664
594        (1 0 2 3 2 2 1)              98.666
595        (1 0 3 1 2 1 2)              98.668
596        (1 0 2 3 2 1 2)              98.671
597        (1 0 3 1 2 1 2)              98.673
598        (1 0 3 1 1 1 1)              98.651
599        (1 0 3 1 2 1 2)              98.653
600        (1 0 2 3 1 1 1)              98.655
601        (1 0 2 3 2 1 2)              98.658
602        (1 0 2 3 2 1 2)              98.660
603        (1 0 2 3 2 1 2)              98.662
604        (1 0 1 2 1 1 1)              98.664
605        (1 0 3 1 2 1 2)              98.667
606        (1 0 3 1 2 1 2)              98.669
607        (1 0 1 2 1 1 1)              98.671
608        (1 0 2 3 2 1 2)              98.673
609        (1 0 2 3 2 1 2)              98.675
610        (1 0 2 3 2 1 2)              98.678
611        (1 0 3 1 2 1 2)              98.680
612        (1 0 2 3 2 1 2)              98.682
613        (1 0 2 3 2 1 2)              98.684
614        (1 0 3 1 2 1 2)              98.686
615        (1 0 3 1 2 1 2)              98.665
616        (1 0 1 2 1 2 1)              98.667
617        (1 0 2 3 2 1 2)              98.669
618        (1 0 2 3 2 1 2)              98.672
619        (1 0 2 3 2 1 2)              98.674
620        (1 0 2 3 2 1 2)              98.676
621        (1 0 2 3 1 2 1)              98.678
622        (1 0 1 2 1 1 1)              98.680
623        (1 0 0 0 1 2 0)              98.682
624        (1 0 2 3 1 2 1)              98.685
625        (1 0 3 1 2 1 1)              98.664
626        (1 0 2 3 2 1 2)              98.666
627        (1 0 2 3 2 1 2)              98.668
628        (1 0 2 3 2 1 2)              98.670
629        (1 0 2 3 2 1 2)              98.672
630        (1 0 2 3 2 1 2)              98.674
631        (1 0 3 1 2 1 2)              98.676
632        (1 0 1 2 1 2 1)              98.679
633        (1 0 3 1 2 1 2)              98.681
634        (1 0 1 2 1 1 1)              98.683
635        (1 0 1 2 1 0 1)              98.594
636        (1 0 3 1 1 1 1)              98.551
637        (1 0 2 3 2 1 2)              98.553
638        (1 0 2 3 2 1 2)              98.556
639        (1 0 1 6 0 0 1)              98.513
