No         Predictions            Accuracy [%]
84         (1 0 2 3 2 1 2)              87.456
85         (1 0 1 2 1 1 1)              87.608
86         (1 0 3 1 2 1 2)              87.755
87         (1 0 3 1 2 1 2)              87.899
88         (1 0 3 1 2 1 2)              88.040
89         (1 0 2 3 2 1 2)              88.177
90         (1 0 3 1 2 1 2)              87.987
91         (1 0 3 1 2 1 2)              88.122
92         (1 0 2 3 2 1 2)              87.937
93         (1 0 1 2 1 1 1)              88.069
94         (1 0 1 2 1 1 1)              88.199
95         (1 0 1 2 1 1 1)              88.326
96         (1 0 3 1 2 1 2)              88.450
97         (1 0 2 3 2 1 2)              88.571
98         (1 0 2 3 2 1 2)              88.542
99         (1 0 3 1 2 1 2)              88.660
100        (1 0 1 2 1 1 1)              88.630
101        (1 0 2 3 2 1 2)              88.745
102        (1 0 0 0 2 2 1)              88.857
103        (0 0 4 3 2 1 1)              88.402
104        (1 0 2 3 2 1 2)              88.515
105        (1 0 2 3 2 1 2)              88.627
106        (1 0 1 2 1 1 1)              88.736
107        (1 0 3 1 2 1 2)              88.844
108        (1 0 3 1 2 1 2)              88.949
109        (1 0 1 2 1 2 1)              88.785
110        (0 0 4 3 2 1 1)              88.360
111        (1 0 1 2 1 1 1)              88.467
112        (1 0 3 1 2 1 2)              88.312
113        (0 0 4 6 1 2 1)              87.773
114        (1 0 2 3 2 1 2)              87.245
115        (1 0 2 3 2 1 2)              87.358
116        (1 0 1 2 0 0 1)              87.469
117        (1 0 2 3 2 1 2)              86.957
118        (1 0 3 1 1 1 1)              86.823
119        (1 0 2 3 2 1 2)              86.691
120        (1 0 2 3 2 1 2)              86.804
121        (1 0 2 3 2 1 2)              86.915
122        (1 0 1 2 1 2 1)              86.548
123        (1 0 1 2 1 1 1)              86.659
124        (1 0 2 3 1 2 1)              86.768
125        (0 0 4 3 2 1 1)              86.411
126        (1 0 1 2 1 1 1)              86.521
127        (1 0 2 3 2 1 2)              86.629
128        (1 0 0 0 2 2 1)              86.735
129        (1 0 3 1 2 1 2)              86.727
130        (1 0 2 3 2 1 2)              86.830
131        (1 0 3 1 2 1 2)              86.379
132        (0 0 4 6 1 2 1)              86.154
133        (1 0 3 1 2 1 2)              86.041
134        (1 0 3 1 2 1 2)              85.931
135        (1 0 3 1 2 1 2)              85.822
136        (1 0 1 2 1 1 1)              85.928
137        (1 0 2 3 2 1 2)              85.926
138        (1 0 2 3 2 1 2)              86.029
139        (1 0 1 2 0 0 1)              86.131
140        (1 0 3 1 2 1 2)              86.232
141        (1 0 1 2 1 1 1)              86.331
142        (0 0 1 2 1 1 1)              86.327
143        (1 0 2 3 2 1 2)              86.120
144        (1 0 2 3 2 1 2)              86.217
145        (1 0 3 1 2 1 2)              86.114
146        (1 0 3 1 2 1 2)              86.210
147        (1 0 2 3 2 1 2)              86.207
148        (1 0 0 0 2 2 1)              86.301
149        (1 0 1 2 1 1 1)              86.395
150        (1 0 3 1 2 1 2)              86.486
151        (0 0 1 2 1 2 1)              86.385
152        (1 0 2 3 2 1 2)              86.286
153        (1 0 3 1 2 1 1)              86.377
154        (1 0 3 1 2 1 2)              86.278
155        (1 0 2 3 1 2 1)              86.368
156        (1 0 1 2 1 1 1)              86.456
157        (0 0 4 5 2 2 1)              86.267
158        (1 0 1 2 1 2 1)              86.264
159        (1 0 2 3 2 1 2)              86.351
160        (1 0 1 2 1 2 1)              86.347
161        (1 0 2 3 2 1 2)              86.253
162        (1 0 2 3 2 1 2)              86.250
163        (1 0 2 3 2 1 2)              86.335
164        (1 0 3 1 2 1 2)              86.243
165        (1 0 2 3 2 1 1)              86.240
166        (1 0 1 2 1 2 1)              86.237
167        (1 0 2 3 2 1 2)              86.320
168        (1 0 3 1 2 1 2)              86.403
169        (1 0 3 1 2 1 2)              86.484
170        (1 0 2 3 2 1 2)              86.139
171        (1 0 2 3 2 1 2)              86.221
172        (1 0 2 3 2 1 1)              86.050
173        (0 0 1 2 1 1 1)              85.798
174        (1 0 2 3 2 1 2)              85.714
175        (1 0 2 3 2 1 2)              85.797
176        (1 0 2 3 2 1 2)              85.714
177        (1 0 1 2 1 1 1)              85.796
178        (1 0 2 3 2 1 2)              85.877
179        (1 0 1 2 1 1 1)              85.956
180        (1 0 3 1 2 1 2)              86.035
181        (1 0 2 3 2 1 2)              85.954
182        (1 0 3 1 2 1 2)              85.952
183        (0 0 4 5 0 0 1)              85.793
184        (1 0 3 1 2 1 2)              85.557
185        (0 0 4 6 1 2 1)              85.324
186        (1 0 1 2 1 1 1)              85.404
187        (1 0 2 3 2 1 2)              85.483
188        (1 0 2 3 2 1 2)              85.484
189        (1 0 3 1 2 1 2)              85.409
190        (1 0 1 2 1 1 1)              85.486
191        (1 0 2 3 2 1 2)              85.563
192        (1 0 3 1 2 1 2)              85.639
193        (1 0 2 3 2 1 2)              85.714
194        (1 0 0 0 2 2 1)              85.789
195        (1 0 3 1 2 1 2)              85.714
196        (1 0 1 2 1 2 1)              85.714
197        (1 0 2 3 2 1 2)              85.788
198        (1 0 1 2 1 1 1)              85.860
199        (1 0 2 3 2 1 2)              85.932
200        (1 0 2 3 2 1 2)              86.003
201        (1 0 2 3 2 1 2)              86.073
202        (0 0 1 2 1 1 1)              86.071
203        (1 0 1 2 1 1 1)              86.141
204        (1 0 1 2 1 1 1)              86.209
205        (1 0 1 2 1 1 1)              86.277
206        (1 0 2 3 2 1 1)              86.275
207        (0 0 2 3 1 2 1)              86.063
208        (1 0 2 3 2 1 2)              85.922
209        (0 0 4 6 1 2 2)              85.714
210        (1 0 2 3 2 1 2)              85.783
211        (1 0 2 3 2 1 2)              85.783
212        (1 0 3 1 2 1 2)              85.850
213        (1 0 2 3 2 1 2)              85.917
214        (1 0 2 3 2 1 2)              85.984
215        (1 0 3 1 1 1 1)              86.050
216        (1 0 2 3 2 1 2)              85.981
217        (1 0 2 3 2 1 2)              86.047
218        (0 0 1 2 1 1 1)              86.045
219        (1 0 3 1 2 1 2)              85.978
220        (1 0 2 3 2 1 2)              86.042
221        (1 0 2 3 1 2 1)              86.106
222        (1 0 3 1 2 1 2)              86.104
223        (1 0 3 1 2 1 2)              86.167
224        (1 0 3 1 2 1 2)              86.229
225        (1 0 2 3 2 1 2)              86.163
226        (1 0 1 2 1 2 1)              86.097
227        (1 0 2 3 2 1 2)              86.159
228        (1 0 3 1 2 1 2)              86.220
229        (1 0 3 1 2 1 2)              86.281
230        (1 0 2 3 2 1 2)              86.341
231        (1 0 3 1 2 1 2)              86.151
232        (1 0 2 3 2 1 2)              86.211
233        (1 0 3 1 2 1 2)              86.209
234        (1 0 2 3 2 1 2)              86.268
235        (0 0 1 2 1 1 1)              86.205
236        (1 0 2 3 2 1 2)              86.264
237        (1 0 3 1 2 1 2)              86.201
238        (1 0 3 1 2 1 2)              86.077
239        (1 0 4 5 2 2 2)              85.955
240        (1 0 2 3 2 1 2)              86.014
241        (1 0 2 3 1 0 1)              86.013
242        (0 0 1 2 1 1 1)              86.012
243        (1 0 3 1 2 1 2)              85.951
244        (1 0 2 3 2 1 2)              85.950
245        (1 0 3 1 2 1 2)              86.008
246        (1 0 1 2 1 2 1)              86.007
247        (1 0 2 3 2 1 2)              86.064
248        (1 0 2 3 2 1 2)              86.063
249        (1 0 2 3 2 1 2)              86.003
250        (1 0 2 3 2 1 2)              85.887
251        (1 0 3 1 2 1 2)              85.944
252        (1 0 2 3 2 1 2)              86.000
253        (1 0 2 3 2 1 2)              86.056
254        (1 0 1 2 1 1 1)              86.111
255        (1 0 2 3 2 1 2)              86.166
256        (1 0 3 1 2 1 2)              86.164
257        (1 0 3 1 2 1 2)              86.218
258        (1 0 2 3 2 1 2)              86.272
259        (0 0 1 2 1 1 1)              86.270
260        (1 0 3 1 2 1 2)              86.323
261        (1 0 3 1 2 1 2)              86.266
262        (1 0 2 3 2 1 2)              86.319
263        (1 0 2 3 2 1 2)              86.371
264        (1 0 3 1 2 1 2)              86.314
265        (1 0 3 1 2 1 2)              86.095
266        (1 0 3 1 2 1 2)              86.147
267        (1 0 2 3 2 1 2)              86.199
268        (1 0 3 1 2 1 2)              85.983
269        (1 0 0 0 2 2 1)              86.035
270        (1 0 3 1 2 1 2)              86.087
271        (1 0 1 2 1 0 1)              85.980
272        (1 0 2 3 2 1 2)              86.032
273        (1 0 3 1 1 1 1)              85.978
274        (1 0 2 3 2 1 2)              86.029
275        (1 0 2 3 2 1 2)              85.976
276        (1 0 3 1 2 1 2)              86.027
277        (1 0 3 1 2 1 2)              86.078
278        (1 0 3 1 2 1 2)              86.077
279        (1 0 3 1 2 1 2)              86.127
280        (1 0 0 0 1 0 1)              86.177
281        (1 0 2 3 2 1 2)              86.226
282        (1 0 2 3 2 1 2)              86.276
283        (1 0 2 3 2 1 2)              86.324
284        (1 0 2 3 2 1 2)              86.272
285        (1 0 2 3 2 1 2)              86.219
286        (1 0 2 3 2 1 2)              86.268
287        (1 0 1 2 1 1 1)              86.316
288        (1 0 1 2 1 1 1)              86.364
289        (1 0 2 3 2 1 2)              86.411
290        (1 0 1 2 1 1 1)              86.458
291        (1 0 3 1 2 1 2)              86.505
292        (1 0 3 1 2 1 2)              86.453
293        (1 0 3 1 2 1 2)              86.500
294        (1 0 1 2 1 1 1)              86.546
295        (1 0 2 3 2 1 2)              86.592
296        (1 0 2 3 2 1 2)              86.638
297        (1 0 1 2 1 1 1)              86.683
298        (1 0 1 2 1 1 1)              86.728
299        (1 0 3 1 2 1 2)              86.772
300        (1 0 1 2 1 1 1)              86.817
301        (1 0 2 3 2 1 2)              86.861
302        (1 0 3 1 2 1 2)              86.905
303        (1 0 2 3 2 1 2)              86.948
304        (1 0 3 1 2 1 2)              86.897
305        (1 0 3 1 2 1 2)              86.893
306        (1 0 1 2 1 1 1)              86.936
307        (1 0 3 1 2 1 2)              86.885
308        (1 0 2 3 2 1 2)              86.928
309        (1 0 3 1 2 1 2)              86.971
310        (1 0 1 2 1 1 1)              87.013
311        (1 0 3 1 2 1 2)              86.963
312        (0 1 4 6 0 0 1)              86.820
313        (1 0 2 3 2 1 2)              86.863
314        (1 0 2 3 2 2 1)              86.905
315        (1 0 2 3 2 1 2)              86.947
316        (1 0 2 3 2 1 2)              86.897
317        (1 0 0 0 2 2 1)              86.939
318        (1 0 2 3 2 1 2)              86.980
319        (1 0 3 1 2 1 2)              87.021
320        (1 0 0 0 1 2 0)              87.062
321        (1 0 2 3 2 1 2)              87.103
322        (1 0 3 1 2 1 2)              87.098
323        (1 0 2 3 2 1 2)              87.138
324        (1 0 2 3 2 1 2)              87.178
325        (1 0 2 3 2 1 2)              87.218
326        (1 0 2 3 2 1 2)              87.213
327        (1 0 2 3 2 1 2)              87.253
328        (1 0 1 2 1 1 1)              87.292
329        (1 0 2 3 2 1 2)              87.331
330        (1 0 3 1 2 1 2)              87.326
331        (1 0 2 3 2 1 2)              87.277
332        (0 0 1 2 1 1 1)              87.186
333        (1 0 1 2 1 2 1)              87.225
334        (1 0 2 3 2 1 2)              87.263
335        (1 0 3 1 2 1 2)              87.130
336        (1 0 2 3 1 2 1)              87.169
337        (1 0 0 0 2 2 1)              87.207
338        (1 0 2 3 2 1 2)              87.160
339        (1 0 2 3 2 1 2)              87.198
340        (1 0 2 3 2 1 2)              87.236
341        (1 0 2 3 2 1 2)              87.273
342        (1 0 2 3 2 1 2)              87.311
343        (1 0 3 1 2 1 2)              87.348
344        (1 0 1 2 1 1 1)              87.385
345        (1 0 2 3 2 1 2)              87.422
346        (1 0 2 3 2 1 2)              87.458
347        (1 0 2 3 2 1 2)              87.412
348        (1 0 2 3 2 1 2)              87.448
349        (1 0 2 3 2 1 2)              87.485
350        (1 0 3 1 2 1 2)              87.521
351        (1 0 3 1 2 1 2)              87.556
352        (1 0 2 3 2 1 2)              87.510
353        (1 0 3 1 2 1 2)              87.546
354        (1 0 2 3 2 1 2)              87.581
355        (1 0 3 1 2 1 2)              87.535
356        (1 0 2 3 2 1 2)              87.490
357        (1 0 2 3 2 1 2)              87.445
358        (1 0 3 1 2 1 2)              87.400
359        (1 0 3 1 2 1 2)              87.435
360        (1 0 1 2 1 2 1)              87.390
361        (1 0 2 3 2 1 2)              87.425
362        (1 0 1 2 1 2 1)              87.421
363        (1 0 2 3 2 1 2)              87.455
364        (1 0 2 3 2 1 2)              87.490
365        (0 0 0 4 1 2 0)              87.367
366        (1 0 2 3 2 1 2)              87.402
367        (1 0 3 1 2 1 2)              87.436
368        (1 0 0 0 2 2 1)              87.471
369        (0 0 1 2 1 1 1)              87.466
370        (1 0 2 3 2 1 2)              87.422
371        (1 0 1 2 1 1 1)              87.456
372        (1 0 2 3 2 1 2)              87.490
373        (1 0 2 3 2 2 1)              87.524
374        (1 0 1 2 1 1 1)              87.558
375        (1 0 3 1 2 1 2)              87.514
376        (1 0 2 3 1 2 1)              87.548
377        (1 0 1 2 1 1 1)              87.581
378        (1 0 3 1 2 1 2)              87.462
379        (1 0 2 3 2 1 2)              87.495
380        (0 0 1 2 1 1 1)              87.491
381        (1 0 2 3 2 1 2)              87.524
382        (1 0 1 2 1 1 1)              87.556
383        (1 0 2 3 2 1 2)              87.589
384        (1 0 2 3 2 1 2)              87.584
385        (1 0 2 3 2 1 2)              87.617
386        (1 0 2 3 2 1 2)              87.574
387        (1 0 2 3 2 1 2)              87.607
388        (1 0 2 3 1 2 1)              87.528
389        (1 0 2 3 2 1 2)              87.560
390        (1 0 2 3 1 2 1)              87.518
391        (1 0 3 1 2 1 2)              87.477
392        (1 0 3 1 1 1 1)              87.509
393        (1 0 3 1 2 1 2)              87.541
394        (1 0 3 1 2 1 2)              87.573
395        (0 0 4 6 0 0 1)              87.495
396        (1 0 2 3 2 1 2)              87.527
397        (1 0 3 1 2 1 2)              87.559
398        (1 0 3 1 2 1 2)              87.554
399        (1 0 3 1 2 1 2)              87.585
400        (1 0 2 3 2 1 2)              87.545
401        (1 0 3 1 2 1 2)              87.540
402        (1 0 2 3 2 1 2)              87.571
403        (1 0 2 3 2 1 2)              87.602
404        (1 0 2 3 2 1 2)              87.633
405        (1 0 3 1 2 1 2)              87.664
406        (1 0 3 1 2 1 2)              87.624
407        (1 0 2 3 2 1 2)              87.584
408        (1 0 3 1 2 1 2)              87.544
409        (1 0 3 1 2 1 2)              87.399
410        (1 0 2 3 2 1 2)              87.430
411        (1 0 2 3 2 1 2)              87.461
412        (1 0 2 3 2 1 2)              87.491
413        (1 0 2 3 2 1 2)              87.348
414        (1 0 2 3 2 1 2)              87.309
415        (1 0 1 2 1 1 1)              87.340
416        (1 0 3 1 2 1 2)              87.371
417        (1 0 1 2 1 2 1)              87.298
418        (1 0 2 3 2 1 2)              87.328
419        (1 0 2 3 2 1 2)              87.290
420        (1 0 3 1 2 1 2)              87.321
421        (0 0 4 5 2 2 1)              87.180
422        (1 0 1 2 1 1 1)              87.211
423        (1 0 3 1 2 1 2)              87.173
424        (1 0 2 3 2 1 2)              87.204
425        (1 0 2 3 2 1 2)              87.200
426        (1 0 3 1 2 1 2)              87.197
427        (1 0 1 2 1 1 1)              87.227
428        (1 0 2 3 2 1 2)              87.156
429        (1 0 1 2 1 1 1)              87.186
430        (1 0 2 3 2 1 2)              87.183
431        (1 0 0 0 2 2 1)              87.213
432        (0 0 1 2 1 1 1)              87.209
433        (1 0 1 2 1 1 1)              87.239
434        (1 0 2 3 2 1 2)              87.269
435        (1 0 2 3 2 1 2)              87.298
436        (1 0 1 2 1 1 1)              87.327
437        (1 0 2 3 2 1 2)              87.356
438        (1 0 2 3 2 1 2)              87.385
439        (1 0 2 3 2 1 2)              87.414
440        (1 0 3 1 1 1 1)              87.443
441        (1 0 3 1 2 1 2)              87.406
442        (1 0 1 2 2 2 1)              87.435
443        (0 0 4 2 2 2 1)              87.302
444        (1 0 3 1 2 1 2)              87.330
445        (1 0 2 3 2 1 2)              87.359
446        (1 0 2 3 2 1 2)              87.323
447        (1 0 2 3 2 1 2)              87.352
448        (1 0 2 3 2 1 2)              87.348
449        (1 0 2 3 2 1 2)              87.376
450        (1 0 2 3 2 1 2)              87.404
451        (1 0 2 3 2 1 2)              87.432
452        (1 0 2 3 2 1 2)              87.460
453        (0 0 1 2 1 1 1)              87.425
454        (1 0 1 2 1 1 1)              87.453
455        (1 0 1 2 1 1 1)              87.480
456        (1 0 1 2 1 2 1)              87.413
457        (1 0 2 3 2 1 1)              87.410
458        (1 0 2 3 2 1 2)              87.437
459        (1 0 1 2 2 2 1)              87.402
460        (1 0 2 3 2 1 2)              87.430
461        (1 0 2 3 2 1 2)              87.457
462        (1 0 4 5 2 2 2)              87.391
463        (1 0 2 3 2 1 1)              87.388
464        (1 0 2 3 2 1 2)              87.415
465        (1 0 1 2 1 1 1)              87.442
466        (1 0 2 3 2 1 2)              87.469
467        (0 0 2 3 1 2 1)              87.435
468        (1 0 3 1 2 1 2)              87.462
469        (1 0 2 3 2 1 2)              87.489
470        (1 0 2 3 2 1 2)              87.454
471        (1 0 2 3 2 1 2)              87.481
472        (1 0 1 2 1 2 1)              87.477
473        (1 0 2 3 2 1 2)              87.473
474        (1 0 2 3 2 1 2)              87.470
475        (1 0 3 1 2 1 2)              87.466
476        (1 0 3 1 2 1 2)              87.492
477        (1 0 3 1 2 1 2)              87.519
478        (1 0 3 1 2 1 2)              87.545
479        (1 0 2 3 2 1 2)              87.511
480        (1 0 2 3 2 1 2)              87.537
481        (1 0 2 3 2 1 2)              87.563
482        (1 0 3 1 2 1 2)              87.560
483        (1 0 3 1 2 1 2)              87.467
484        (1 0 2 3 2 1 2)              87.493
485        (1 0 2 3 2 1 2)              87.459
486        (1 0 2 3 1 2 1)              87.485
487        (1 0 3 1 2 1 2)              87.511
488        (1 0 1 2 1 1 1)              87.537
489        (0 0 1 2 2 1 1)              87.445
490        (1 0 2 3 2 1 2)              87.471
491        (1 0 2 3 1 2 1)              87.496
492        (1 0 2 3 1 2 1)              87.522
493        (1 0 2 3 2 1 2)              87.489
494        (1 0 2 3 2 1 2)              87.515
495        (1 0 2 3 2 1 2)              87.482
496        (1 0 2 3 2 1 2)              87.507
497        (1 0 2 3 2 1 2)              87.504
498        (1 0 1 2 1 1 1)              87.414
499        (0 0 1 2 1 2 1)              87.381
500        (1 0 3 1 2 1 2)              87.378
501        (1 0 1 2 1 1 1)              87.289
502        (0 0 4 5 2 2 1)              87.229
503        (1 0 3 1 2 1 2)              87.197
504        (1 0 2 3 1 2 1)              87.223
505        (1 0 2 3 2 1 2)              87.248
506        (1 0 3 1 2 1 2)              87.217
507        (1 0 2 3 2 1 2)              87.242
508        (1 0 3 1 2 1 2)              87.267
509        (1 0 2 3 2 1 2)              87.292
510        (1 0 1 2 1 1 1)              87.317
511        (1 0 3 1 2 1 2)              87.202
512        (1 0 1 2 1 1 1)              87.227
513        (1 0 2 3 2 1 2)              87.252
514        (1 0 3 1 2 1 2)              87.277
515        (1 0 3 1 2 1 2)              87.302
516        (1 0 2 3 2 2 1)              87.326
517        (1 0 3 1 2 1 2)              87.351
518        (1 0 2 3 2 1 2)              87.375
519        (1 0 3 1 2 1 2)              87.372
520        (1 0 3 1 2 1 2)              87.341
521        (1 0 2 3 2 1 2)              87.366
522        (1 0 3 1 2 1 2)              87.335
523        (1 0 3 1 2 1 2)              87.359
524        (1 0 3 1 2 1 2)              87.356
525        (1 0 2 3 2 1 2)              87.326
526        (1 0 3 1 2 1 2)              87.350
527        (1 0 2 3 2 1 2)              87.374
528        (1 0 0 0 2 2 1)              87.398
529        (0 0 1 2 2 1 2)              87.341
530        (1 0 3 1 2 1 2)              87.311
533        (1 0 3 1 2 1 2)              87.335
534        (1 0 1 2 1 2 1)              87.332
535        (1 0 2 3 2 1 2)              87.355
536        (1 0 3 1 2 1 2)              87.325
537        (1 0 2 3 1 2 1)              87.322
538        (0 0 4 6 1 2 1)              87.239
539        (1 0 3 1 2 1 2)              87.263
540        (1 0 1 2 1 1 1)              87.287
541        (1 0 3 1 2 1 2)              87.310
542        (1 0 3 1 2 1 2)              87.281
543        (0 0 1 2 0 0 1)              87.278
544        (1 0 2 3 2 1 2)              87.302
545        (1 0 2 3 2 1 2)              87.325
546        (1 0 2 3 2 1 2)              87.322
547        (1 0 2 3 2 1 2)              87.345
548        (1 0 3 1 2 1 2)              87.369
549        (1 0 1 2 0 0 1)              87.392
550        (1 0 2 3 1 2 1)              87.310
551        (1 0 1 2 1 2 1)              87.307
552        (1 0 1 2 1 1 1)              87.331
553        (0 0 0 4 1 2 0)              87.224
554        (1 0 3 1 2 1 2)              87.195
555        (1 0 2 3 2 1 2)              87.218
556        (0 0 1 2 1 1 1)              87.164
557        (1 0 3 1 2 1 2)              87.135
558        (1 0 2 3 2 1 2)              87.107
559        (1 0 2 3 2 1 2)              87.130
560        (1 0 2 3 2 1 2)              87.153
561        (1 0 2 3 2 1 2)              87.176
562        (1 0 1 2 1 1 1)              87.199
563        (1 0 2 3 2 1 2)              87.171
564        (1 0 2 3 2 1 2)              87.194
565        (1 0 2 3 2 1 2)              87.217
566        (1 0 2 3 2 1 2)              87.239
567        (1 0 3 1 2 1 2)              87.262
568        (1 0 3 1 2 1 2)              87.234
569        (1 0 2 3 2 1 2)              87.206
570        (1 0 2 3 2 1 2)              87.178
571        (1 0 1 2 1 1 1)              87.201
572        (1 0 2 3 2 1 2)              87.223
573        (1 0 2 3 2 1 2)              87.246
574        (1 0 2 3 2 1 2)              87.268
575        (1 0 2 3 2 1 2)              87.290
576        (1 0 3 1 2 1 2)              87.263
577        (1 0 3 1 2 1 2)              87.185
578        (1 0 2 3 2 1 2)              87.158
579        (1 0 3 1 2 1 2)              87.180
580        (1 0 3 1 2 1 2)              87.202
581        (1 0 3 1 2 1 2)              87.225
582        (1 0 1 2 1 1 1)              87.148
583        (1 0 2 3 1 2 1)              87.170
584        (1 0 2 3 2 1 2)              87.192
585        (1 0 2 3 2 1 2)              87.214
586        (1 0 2 3 2 1 2)              87.236
587        (1 0 3 1 2 1 2)              87.258
588        (1 0 2 3 2 1 2)              87.280
589        (1 0 1 2 0 0 0)              87.204
590        (1 0 1 2 1 1 1)              87.128
591        (1 0 2 3 2 1 2)              87.150
592        (1 0 3 1 2 1 2)              87.172
593        (1 0 2 3 2 1 2)              87.194
594        (1 0 2 3 2 2 1)              87.215
595        (1 0 3 1 2 1 2)              87.237
596        (1 0 2 3 2 1 2)              87.259
597        (1 0 3 1 2 1 2)              87.280
598        (1 0 3 1 2 1 2)              87.278
599        (1 0 3 1 2 1 2)              87.299
600        (1 0 2 3 2 1 2)              87.272
601        (1 0 2 3 2 1 2)              87.294
602        (1 0 2 3 2 1 2)              87.315
603        (1 0 2 3 2 1 2)              87.336
604        (1 0 1 2 1 1 1)              87.357
605        (1 0 3 1 2 1 2)              87.378
606        (1 0 2 3 2 1 2)              87.352
607        (1 0 1 2 1 1 1)              87.373
608        (1 0 2 3 2 1 2)              87.394
609        (1 0 2 3 2 1 2)              87.414
610        (1 0 2 3 2 1 2)              87.435
611        (1 0 3 1 2 1 2)              87.456
612        (1 0 2 3 2 1 2)              87.477
613        (1 0 2 3 2 1 2)              87.497
614        (1 0 3 1 2 1 1)              87.494
615        (1 0 3 1 2 1 2)              87.491
616        (0 0 1 2 1 1 1)              87.465
617        (1 0 2 3 2 1 2)              87.485
618        (1 0 2 3 2 1 2)              87.506
619        (1 0 2 3 2 1 2)              87.526
620        (1 0 2 3 2 1 2)              87.546
621        (1 0 2 3 1 2 1)              87.567
622        (1 0 1 2 1 1 1)              87.587
623        (1 0 0 0 1 2 0)              87.607
624        (0 0 1 2 1 1 1)              87.535
625        (1 0 3 1 2 1 2)              87.555
626        (1 0 3 1 2 1 2)              87.529
627        (1 0 2 3 2 1 2)              87.549
628        (1 0 2 3 2 1 2)              87.569
629        (1 0 2 3 2 1 2)              87.589
630        (1 0 3 1 2 1 2)              87.563
631        (1 0 3 1 2 1 2)              87.583
632        (1 0 1 2 1 2 1)              87.602
633        (1 0 2 3 2 1 2)              87.577
634        (1 0 1 2 1 1 1)              87.596
635        (0 0 4 6 0 0 1)              87.525
636        (1 0 3 1 2 1 2)              87.545
637        (1 0 2 3 2 1 2)              87.565
638        (1 0 2 3 2 1 2)              87.584
