No         Predictions            Accuracy [%]
75         (1 0 2 3 2 1 1)              98.872
76         (1 0 3 1 1 1 1)              98.887
77         (1 0 0 0 2 2 1)              98.901
78         (1 0 1 2 1 1 1)              98.915
79         (1 0 1 2 1 1 1)              98.929
80         (1 0 2 3 2 1 2)              98.942
81         (1 0 0 0 1 2 0)              98.955
82         (1 0 2 3 1 2 1)              98.967
83         (1 0 3 1 2 1 2)              98.980
84         (1 0 3 1 2 1 2)              98.992
85         (1 0 1 2 1 1 1)              99.003
86         (1 0 3 1 2 1 2)              99.015
87         (1 0 3 1 2 1 2)              99.026
88         (1 0 3 1 2 1 2)              99.037
89         (1 0 2 3 2 1 2)              99.048
90         (1 0 3 1 1 1 1)              99.058
91         (1 0 3 1 2 1 2)              99.068
92         (1 0 2 3 1 1 1)              99.078
93         (1 0 1 2 1 1 1)              99.088
94         (1 0 1 2 1 1 1)              99.098
95         (1 0 1 2 1 1 1)              99.107
96         (1 0 3 1 2 1 2)              99.116
97         (1 0 2 3 2 1 2)              99.125
98         (1 0 2 3 2 1 1)              99.134
99         (1 0 3 1 2 1 2)              99.143
100        (1 0 1 2 1 2 1)              99.151
101        (1 0 2 3 2 1 2)              99.160
102        (1 0 0 0 2 2 1)              99.168
103        (1 0 1 2 1 1 1)              99.176
104        (1 0 2 3 2 1 2)              99.184
105        (1 0 2 3 2 1 2)              99.191
106        (1 0 1 2 1 1 1)              99.199
107        (1 0 3 1 2 1 2)              99.206
108        (1 0 3 1 2 1 2)              99.214
109        (1 0 1 2 0 0 1)              99.221
110        (1 0 1 2 1 1 1)              99.228
111        (1 0 1 2 1 1 1)              99.235
112        (1 0 2 3 2 1 2)              99.241
113        (1 0 3 1 2 1 2)              99.123
114        (1 0 0 0 1 2 1)              99.130
115        (1 0 2 3 2 1 2)              99.138
116        (1 0 1 2 0 0 1)              99.145
117        (1 0 0 0 1 2 0)              99.153
118        (1 0 3 1 2 1 1)              99.040
119        (1 0 3 1 2 1 2)              99.048
120        (1 0 2 3 2 1 2)              99.055
121        (1 0 2 3 2 1 2)              99.063
122        (1 0 3 1 0 1 1)              98.955
123        (1 0 1 2 1 1 1)              98.963
124        (1 0 2 3 1 2 1)              98.971
125        (1 0 1 2 1 1 1)              98.980
126        (1 0 1 2 1 1 1)              98.988
127        (1 0 2 3 2 1 2)              98.996
128        (1 0 0 0 2 2 1)              99.003
129        (1 0 3 1 2 1 2)              98.901
130        (1 0 2 3 2 1 2)              98.909
131        (1 0 2 3 1 2 1)              98.918
132        (1 0 1 2 1 2 1)              98.926
133        (1 0 2 3 2 1 2)              98.934
134        (1 0 3 1 1 1 1)              98.942
135        (1 0 2 3 2 1 2)              98.950
136        (1 0 1 2 1 1 1)              98.957
137        (1 0 2 3 2 1 1)              98.965
138        (1 0 2 3 2 1 2)              98.972
139        (1 0 1 2 0 0 1)              98.980
140        (1 0 3 1 2 1 2)              98.987
141        (1 0 1 2 1 1 1)              98.994
142        (1 0 1 2 1 1 1)              99.001
143        (1 0 2 3 1 2 1)              99.008
144        (1 0 2 3 2 1 2)              99.015
145        (1 0 2 3 2 1 2)              99.022
146        (1 0 3 1 2 1 2)              99.028
147        (1 0 2 3 2 1 1)              99.035
148        (1 0 0 0 2 2 1)              99.041
149        (1 0 1 2 1 1 1)              99.048
150        (1 0 3 1 2 1 2)              99.054
151        (1 0 1 2 1 1 1)              99.060
152        (1 0 3 1 2 1 2)              99.066
153        (1 0 3 1 2 1 2)              98.980
154        (1 0 2 3 2 1 2)              98.986
155        (1 0 2 3 1 2 1)              98.993
156        (1 0 1 2 1 1 1)              98.999
157        (1 0 0 0 2 2 1)              99.005
158        (1 0 1 2 1 1 1)              99.012
159        (1 0 2 3 2 1 2)              99.018
160        (1 0 1 2 2 2 1)              99.024
161        (1 0 3 1 2 1 2)              99.030
162        (1 0 2 3 2 1 1)              99.036
163        (1 0 2 3 2 1 2)              99.042
164        (1 0 2 3 2 1 2)              99.048
165        (1 0 2 3 2 1 2)              99.053
166        (1 0 1 2 1 2 0)              99.059
167        (1 0 2 3 2 1 2)              99.065
168        (1 0 3 1 2 1 2)              99.070
169        (1 0 3 1 2 1 2)              99.076
170        (1 0 0 0 1 2 0)              99.081
171        (1 0 2 3 2 1 2)              99.086
172        (1 0 1 2 1 1 1)              99.092
173        (1 0 2 3 1 2 1)              99.097
174        (1 0 3 1 2 1 2)              99.102
175        (1 0 2 3 2 1 2)              99.107
176        (1 0 2 3 1 1 1)              99.112
177        (1 0 1 2 1 1 1)              99.117
178        (1 0 2 3 2 1 2)              99.122
179        (1 0 1 2 1 1 1)              99.127
180        (1 0 3 1 2 1 2)              99.132
181        (1 0 3 1 2 1 2)              99.137
182        (1 0 3 1 2 1 2)              99.063
183        (1 0 1 2 0 0 1)              99.068
184        (1 0 2 3 2 1 2)              98.919
185        (1 0 1 2 1 1 1)              98.925
186        (1 0 1 2 1 1 1)              98.930
187        (1 0 2 3 2 1 2)              98.936
188        (1 0 2 3 2 1 1)              98.942
189        (1 0 2 3 2 1 2)              98.947
190        (1 0 1 2 1 1 1)              98.953
191        (1 0 2 3 2 1 2)              98.958
192        (1 0 3 1 2 1 1)              98.890
193        (1 0 2 3 2 1 2)              98.895
194        (1 0 0 0 2 2 1)              98.901
195        (1 0 3 1 1 1 1)              98.907
196        (1 0 1 2 1 1 1)              98.912
197        (1 0 2 3 2 1 2)              98.918
198        (1 0 1 2 1 1 1)              98.923
199        (1 0 2 3 2 1 2)              98.929
200        (1 0 2 3 2 1 2)              98.934
201        (1 0 2 3 2 1 2)              98.939
202        (1 0 1 2 1 1 1)              98.944
203        (1 0 1 2 1 1 1)              98.950
204        (1 0 1 2 1 1 1)              98.955
205        (1 0 1 2 1 1 1)              98.960
206        (1 0 2 3 2 1 2)              98.965
207        (1 0 0 0 1 0 1)              98.970
208        (1 0 3 1 2 1 1)              98.975
209        (1 0 0 0 1 2 0)              98.980
210        (1 0 2 3 2 1 2)              98.984
211        (1 0 2 3 2 1 1)              98.989
212        (1 0 3 1 2 1 2)              98.994
213        (1 0 2 3 2 1 2)              98.999
214        (1 0 2 3 2 1 2)              99.003
215        (1 0 3 1 2 1 1)              98.942
216        (1 0 3 1 2 1 2)              98.947
217        (1 0 2 3 2 1 2)              98.952
218        (1 0 1 2 1 1 1)              98.956
219        (1 0 2 3 2 1 2)              98.961
220        (1 0 2 3 2 1 2)              98.966
221        (1 0 2 3 1 2 1)              98.970
222        (1 0 3 1 2 1 2)              98.911
223        (1 0 3 1 2 1 2)              98.916
224        (1 0 3 1 2 1 2)              98.921
225        (1 0 2 3 1 1 1)              98.925
226        (1 0 2 3 1 2 1)              98.930
227        (1 0 2 3 2 1 2)              98.935
228        (1 0 3 1 2 1 2)              98.939
229        (1 0 3 1 2 1 2)              98.944
230        (1 0 2 3 2 1 2)              98.949
231        (1 0 1 2 1 1 1)              98.953
232        (1 0 2 3 2 1 2)              98.958
233        (1 0 3 1 2 1 2)              98.901
234        (1 0 2 3 2 1 2)              98.906
235        (1 0 1 2 1 2 1)              98.910
236        (1 0 2 3 2 1 2)              98.915
237        (1 0 2 3 2 1 2)              98.920
238        (1 0 2 3 2 1 1)              98.924
239        (1 0 2 3 2 1 2)              98.929
240        (1 0 2 3 2 1 2)              98.933
241        (1 0 2 3 0 0 0)              98.819
242        (1 0 1 2 1 1 1)              98.824
243        (1 0 3 1 1 1 1)              98.829
244        (1 0 2 3 2 1 1)              98.834
245        (1 0 3 1 2 1 2)              98.839
246        (1 0 1 2 1 1 1)              98.843
247        (1 0 2 3 2 1 2)              98.848
248        (1 0 2 3 2 1 1)              98.853
249        (1 0 3 1 2 1 2)              98.857
250        (1 0 3 1 2 1 1)              98.862
251        (1 0 3 1 2 1 2)              98.866
252        (1 0 2 3 2 1 2)              98.871
253        (1 0 2 3 2 1 2)              98.875
254        (1 0 1 2 1 1 1)              98.880
255        (1 0 2 3 2 1 2)              98.884
256        (1 0 3 1 2 1 1)              98.888
257        (1 0 3 1 2 1 2)              98.893
258        (1 0 2 3 2 1 2)              98.897
259        (1 0 1 2 1 1 1)              98.901
260        (1 0 3 1 2 1 2)              98.905
261        (1 0 2 3 2 1 2)              98.909
262        (1 0 2 3 2 1 2)              98.914
263        (1 0 2 3 2 1 2)              98.918
264        (1 0 2 3 2 1 2)              98.922
265        (1 0 2 3 1 2 1)              98.926
266        (1 0 3 1 2 1 2)              98.930
267        (1 0 2 3 2 1 2)              98.934
268        (1 0 1 2 1 2 0)              98.938
270        (1 0 3 1 2 1 2)              98.942
271        (1 0 2 3 1 1 1)              98.840
272        (1 0 2 3 2 1 2)              98.845
273        (1 0 3 1 2 1 1)              98.796
274        (1 0 2 3 2 1 2)              98.801
275        (1 0 3 1 2 1 2)              98.805
276        (1 0 3 1 2 1 2)              98.810
277        (1 0 3 1 2 1 2)              98.814
278        (1 0 3 1 2 1 2)              98.767
279        (1 0 3 1 2 1 2)              98.771
280        (1 0 0 0 1 0 1)              98.776
281        (1 0 2 3 2 1 1)              98.729
282        (1 0 2 3 2 1 2)              98.734
283        (1 0 2 3 2 1 2)              98.738
284        (1 0 3 1 2 1 2)              98.742
285        (1 0 3 1 2 1 2)              98.747
286        (1 0 2 3 2 1 2)              98.751
287        (1 0 1 2 1 1 1)              98.756
288        (1 0 1 2 1 1 1)              98.760
289        (1 0 2 3 2 1 2)              98.764
290        (1 0 1 2 1 1 1)              98.768
291        (1 0 3 1 2 1 2)              98.773
292        (1 0 3 1 1 1 1)              98.777
293        (1 0 3 1 2 1 2)              98.781
294        (1 0 1 2 1 1 1)              98.785
295        (1 0 2 3 2 1 2)              98.789
296        (1 0 2 3 2 1 2)              98.793
297        (1 0 1 2 1 1 1)              98.797
298        (1 0 1 2 1 1 1)              98.802
299        (1 0 3 1 2 1 2)              98.806
300        (1 0 1 2 1 1 1)              98.810
301        (1 0 2 3 2 1 2)              98.813
302        (1 0 3 1 2 1 2)              98.817
303        (1 0 2 3 2 1 1)              98.774
304        (1 0 3 1 1 1 1)              98.778
305        (1 0 3 1 2 1 2)              98.735
306        (1 0 1 2 1 1 1)              98.739
307        (1 0 2 3 2 1 2)              98.744
308        (1 0 2 3 2 1 2)              98.748
309        (1 0 3 1 2 1 2)              98.752
310        (1 0 1 2 1 1 1)              98.756
311        (1 0 2 3 2 1 2)              98.760
312        (1 0 1 2 0 0 1)              98.764
313        (1 0 2 3 2 1 2)              98.768
314        (1 0 2 3 2 2 1)              98.772
315        (1 0 2 3 2 1 2)              98.776
316        (1 0 3 1 2 1 2)              98.779
317        (1 0 0 0 2 2 1)              98.783
318        (1 0 2 3 2 1 2)              98.787
319        (1 0 3 1 2 1 2)              98.791
320        (1 0 0 0 1 2 0)              98.795
321        (1 0 2 3 2 1 2)              98.798
322        (1 0 3 1 2 1 2)              98.758
323        (1 0 2 3 2 1 1)              98.717
324        (1 0 2 3 2 1 2)              98.721
325        (1 0 2 3 2 1 2)              98.725
327        (1 0 2 3 2 1 2)              98.729
328        (1 0 1 2 1 1 1)              98.733
329        (1 0 2 3 2 1 2)              98.737
330        (1 0 3 1 2 1 2)              98.697
331        (1 0 3 1 2 1 2)              98.701
332        (1 0 2 3 1 1 1)              98.705
335        (1 0 1 2 1 1 1)              98.709
336        (1 0 2 3 1 2 1)              98.713
337        (1 0 0 0 2 2 1)              98.717
338        (1 0 3 1 2 1 2)              98.721
339        (1 0 2 3 2 1 2)              98.724
340        (1 0 2 3 2 1 2)              98.728
341        (1 0 2 3 2 1 2)              98.732
342        (1 0 2 3 2 1 2)              98.736
343        (1 0 3 1 2 1 1)              98.697
344        (1 0 1 2 1 1 1)              98.701
345        (1 0 2 3 2 1 2)              98.705
346        (1 0 2 3 2 1 2)              98.709
347        (1 0 3 1 2 1 2)              98.713
348        (1 0 2 3 2 1 2)              98.716
349        (1 0 2 3 2 1 2)              98.720
350        (1 0 3 1 2 1 1)              98.683
351        (1 0 3 1 2 1 2)              98.686
352        (1 0 3 1 2 1 2)              98.690
353        (1 0 3 1 2 1 2)              98.694
354        (1 0 2 3 2 1 2)              98.698
355        (1 0 3 1 1 1 1)              98.701
356        (1 0 3 1 2 1 2)              98.705
357        (1 0 3 1 2 1 2)              98.709
358        (1 0 3 1 1 1 1)              98.712
359        (1 0 3 1 2 1 2)              98.716
360        (1 0 2 3 1 2 1)              98.719
361        (1 0 2 3 2 1 2)              98.723
362        (1 0 1 2 1 1 1)              98.727
363        (1 0 2 3 2 1 2)              98.730
364        (1 0 2 3 2 1 1)              98.694
365        (1 0 3 1 1 2 1)              98.698
366        (1 0 2 3 2 1 2)              98.701
367        (1 0 3 1 2 1 2)              98.705
368        (1 0 0 0 2 2 1)              98.708
369        (1 0 1 2 1 1 1)              98.712
370        (1 0 3 1 2 1 2)              98.715
371        (1 0 1 2 1 1 1)              98.719
372        (1 0 2 3 2 1 1)              98.684
373        (1 0 2 3 2 2 1)              98.687
374        (1 0 1 2 1 1 1)              98.691
375        (1 0 2 3 2 1 2)              98.694
376        (1 0 2 3 1 2 1)              98.698
377        (1 0 1 2 1 1 1)              98.701
378        (1 0 2 3 1 1 1)              98.705
379        (1 0 2 3 2 1 2)              98.708
380        (1 0 1 2 1 1 1)              98.712
381        (1 0 2 3 2 1 2)              98.715
382        (1 0 1 2 1 1 1)              98.718
383        (1 0 2 3 2 1 2)              98.722
384        (1 0 2 3 2 1 2)              98.688
385        (1 0 2 3 2 1 2)              98.691
386        (1 0 3 1 2 1 2)              98.695
387        (1 0 2 3 2 1 2)              98.698
388        (1 0 2 3 2 1 2)              98.701
389        (1 0 2 3 2 1 2)              98.705
390        (1 0 2 3 2 1 1)              98.708
391        (1 0 3 1 1 1 1)              98.711
392        (1 0 3 1 1 1 1)              98.715
393        (1 0 3 1 2 1 2)              98.718
394        (1 0 3 1 2 1 2)              98.721
395        (1 0 1 0 1 0 1)              98.615
396        (1 0 2 3 2 1 2)              98.619
397        (1 0 3 1 2 1 2)              98.622
398        (1 0 3 1 2 1 2)              98.590
399        (1 0 3 1 2 1 2)              98.593
400        (1 0 3 1 2 1 2)              98.597
401        (1 0 3 1 2 1 1)              98.600
402        (1 0 2 3 2 1 2)              98.604
403        (1 0 2 3 2 1 2)              98.607
404        (1 0 2 3 2 1 2)              98.611
405        (1 0 3 1 2 1 2)              98.614
406        (1 0 3 1 1 1 1)              98.618
407        (1 0 3 1 2 1 2)              98.621
408        (1 0 2 3 2 1 2)              98.624
409        (1 0 2 3 1 2 1)              98.628
410        (1 0 2 3 2 1 2)              98.631
411        (1 0 2 3 2 1 2)              98.634
412        (1 0 2 3 2 1 2)              98.638
413        (1 0 1 2 1 2 1)              98.641
414        (1 0 3 1 2 1 2)              98.644
415        (1 0 1 2 1 1 1)              98.648
416        (1 0 3 1 2 1 2)              98.651
417        (1 0 2 3 1 2 0)              98.654
418        (1 0 2 3 2 1 2)              98.657
419        (1 0 3 1 2 1 2)              98.661
420        (1 0 3 1 2 1 2)              98.664
421        (1 0 1 2 1 1 1)              98.667
422        (1 0 1 2 1 1 1)              98.670
423        (1 0 2 3 2 1 2)              98.673
424        (1 0 2 3 2 1 2)              98.677
425        (1 0 2 3 2 1 1)              98.680
426        (1 0 3 1 2 1 1)              98.683
427        (1 0 1 2 1 1 1)              98.686
428        (1 0 3 1 2 1 1)              98.689
429        (1 0 1 2 1 1 1)              98.692
430        (1 0 2 3 2 1 1)              98.695
431        (1 0 0 0 2 2 1)              98.698
432        (1 0 1 2 1 1 1)              98.701
433        (1 0 1 2 1 1 1)              98.704
434        (1 0 2 3 2 1 2)              98.707
435        (1 0 2 3 2 1 2)              98.710
436        (1 0 1 2 1 1 1)              98.713
437        (1 0 2 3 2 1 2)              98.716
438        (1 0 2 3 2 1 2)              98.719
439        (1 0 2 3 2 1 2)              98.722
440        (1 0 3 1 1 1 1)              98.725
441        (1 0 2 3 2 1 2)              98.728
442        (1 0 1 2 2 2 1)              98.731
443        (1 0 2 3 1 1 1)              98.734
444        (1 0 3 1 2 1 2)              98.737
445        (1 0 2 3 2 1 2)              98.739
446        (1 0 2 3 1 1 1)              98.742
447        (1 0 2 3 2 1 2)              98.745
448        (1 0 2 3 2 1 1)              98.748
449        (1 0 2 3 2 1 2)              98.751
450        (1 0 2 3 2 1 1)              98.722
451        (1 0 2 3 2 1 2)              98.724
452        (1 0 2 3 2 1 2)              98.727
453        (1 0 1 2 1 2 1)              98.730
455        (1 0 1 2 1 1 1)              98.733
456        (1 0 2 3 1 2 1)              98.704
457        (1 0 2 3 1 1 1)              98.707
458        (1 0 2 3 2 1 2)              98.710
459        (1 0 1 2 1 2 0)              98.713
460        (1 0 2 3 2 1 2)              98.716
461        (1 0 2 3 2 1 2)              98.718
462        (1 0 2 3 2 1 2)              98.721
463        (1 0 2 3 2 1 2)              98.724
464        (1 0 2 3 2 1 2)              98.727
465        (1 0 1 2 1 1 1)              98.729
466        (1 0 2 3 2 1 2)              98.732
467        (1 0 2 3 2 2 1)              98.735
468        (1 0 3 1 2 1 2)              98.738
469        (1 0 2 3 2 1 2)              98.740
470        (1 0 3 1 2 1 2)              98.743
471        (1 0 2 3 2 1 2)              98.746
472        (1 0 1 2 1 1 1)              98.748
473        (1 0 2 3 2 1 1)              98.751
474        (1 0 2 3 2 1 1)              98.754
475        (1 0 3 1 2 1 2)              98.726
476        (1 0 3 1 2 1 2)              98.729
477        (1 0 3 1 2 1 2)              98.732
478        (1 0 3 1 2 1 2)              98.734
479        (1 0 3 1 2 1 2)              98.737
480        (1 0 2 3 2 1 2)              98.739
481        (1 0 2 3 2 1 2)              98.742
482        (1 0 3 1 2 1 2)              98.715
483        (1 0 1 2 1 1 1)              98.718
484        (1 0 2 3 2 1 2)              98.720
485        (1 0 3 1 2 1 2)              98.723
486        (1 0 2 3 1 2 1)              98.726
487        (1 0 3 1 2 1 2)              98.728
488        (1 0 1 2 1 1 1)              98.731
489        (1 0 3 1 1 1 1)              98.733
490        (1 0 2 3 1 1 1)              98.677
491        (1 0 2 3 1 2 1)              98.680
492        (1 0 2 3 1 2 1)              98.683
493        (1 0 2 3 1 1 1)              98.685
494        (1 0 2 3 2 1 2)              98.688
495        (1 0 3 1 2 1 2)              98.691
496        (1 0 2 3 2 1 2)              98.693
497        (1 0 2 3 2 1 1)              98.696
498        (1 0 2 3 1 1 1)              98.641
499        (1 0 1 2 1 1 1)              98.644
500        (1 0 3 1 2 1 2)              98.618
501        (1 0 2 3 2 1 2)              98.620
502        (1 0 0 0 2 2 1)              98.623
503        (1 0 2 3 2 1 2)              98.626
504        (1 0 2 3 1 2 1)              98.629
505        (1 0 2 3 2 1 2)              98.631
506        (1 0 2 3 2 1 2)              98.634
507        (1 0 2 3 2 1 2)              98.637
508        (1 0 3 1 2 1 2)              98.639
509        (1 0 2 3 2 1 2)              98.642
510        (1 0 1 2 1 1 1)              98.645
511        (1 0 2 3 1 2 1)              98.648
512        (1 0 1 2 1 1 1)              98.650
513        (1 0 2 3 2 1 2)              98.653
514        (1 0 3 1 2 1 2)              98.655
515        (1 0 3 1 2 1 2)              98.658
516        (1 0 2 3 2 2 1)              98.661
517        (1 0 3 1 2 1 2)              98.663
518        (1 0 2 3 2 1 2)              98.666
519        (1 0 3 1 2 1 1)              98.669
520        (1 0 3 1 1 1 1)              98.671
521        (1 0 2 3 2 1 2)              98.674
522        (1 0 3 1 1 1 1)              98.676
523        (1 0 3 1 2 1 2)              98.679
524        (1 0 3 1 2 1 1)              98.681
525        (1 0 3 1 2 1 2)              98.684
526        (1 0 3 1 2 1 2)              98.686
527        (1 0 2 3 2 1 2)              98.689
528        (1 0 0 0 2 2 1)              98.691
529        (1 0 1 2 1 1 1)              98.694
530        (1 0 2 3 2 1 2)              98.696
531        (1 0 2 3 2 1 2)              98.699
532        (1 0 1 2 1 1 1)              98.701
533        (1 0 3 1 2 1 2)              98.704
534        (1 0 1 2 1 2 1)              98.679
535        (1 0 2 3 2 1 2)              98.682
536        (1 0 2 3 2 1 2)              98.684
537        (1 0 2 3 1 1 1)              98.687
538        (1 0 1 2 1 1 1)              98.689
539        (1 0 3 1 2 1 2)              98.692
540        (1 0 1 2 1 1 1)              98.694
541        (1 0 3 1 2 1 2)              98.696
542        (1 0 2 3 2 1 1)              98.672
543        (1 0 1 2 0 0 1)              98.675
544        (1 0 2 3 2 1 2)              98.677
545        (1 0 2 3 2 1 2)              98.680
546        (1 0 2 3 2 1 1)              98.682
547        (1 0 2 3 2 1 2)              98.685
548        (1 0 3 1 2 1 2)              98.687
549        (1 0 1 2 0 0 1)              98.689
550        (1 0 3 1 2 1 2)              98.666
551        (1 0 1 2 1 1 1)              98.668
552        (1 0 1 2 1 1 1)              98.670
553        (1 0 2 3 1 0 1)              98.673
554        (1 0 3 1 1 1 1)              98.675
555        (1 0 2 3 2 1 2)              98.678
556        (1 0 1 2 1 2 0)              98.680
557        (1 0 2 3 2 1 2)              98.683
558        (1 0 3 1 2 1 2)              98.685
559        (1 0 2 3 2 1 2)              98.687
560        (1 0 2 3 2 1 2)              98.690
561        (1 0 2 3 2 1 2)              98.692
562        (1 0 1 2 2 1 2)              98.643
563        (1 0 2 3 1 1 1)              98.646
564        (1 0 2 3 2 1 2)              98.648
565        (1 0 2 3 2 1 2)              98.650
566        (1 0 2 3 2 1 2)              98.653
567        (1 0 3 1 2 1 2)              98.655
568        (1 0 3 1 1 1 1)              98.658
569        (1 0 2 3 1 1 1)              98.660
570        (1 0 3 1 2 1 2)              98.662
571        (1 0 1 2 1 1 1)              98.665
572        (1 0 2 3 2 1 2)              98.667
573        (1 0 2 3 2 1 2)              98.669
574        (1 0 2 3 2 1 2)              98.672
575        (1 0 2 3 2 1 2)              98.674
576        (1 0 2 3 2 1 2)              98.676
577        (1 0 1 2 1 1 1)              98.679
578        (1 0 2 3 1 1 1)              98.681
579        (1 0 3 1 2 1 2)              98.683
580        (1 0 3 1 2 1 2)              98.686
581        (1 0 3 1 2 1 2)              98.688
582        (1 0 2 3 2 1 2)              98.690
583        (1 0 2 3 1 2 1)              98.692
584        (1 0 2 3 2 1 2)              98.695
585        (1 0 2 3 2 1 2)              98.697
586        (1 0 2 3 2 1 2)              98.699
587        (1 0 3 1 2 1 2)              98.701
588        (1 0 2 3 2 1 2)              98.704
589        (1 0 2 3 1 2 1)              98.681
590        (1 0 2 3 1 2 1)              98.659
591        (1 0 2 3 2 1 2)              98.661
592        (1 0 3 1 2 1 2)              98.664
593        (1 0 2 3 2 1 2)              98.666
594        (1 0 2 3 2 2 1)              98.668
595        (1 0 3 1 2 1 2)              98.671
596        (1 0 2 3 2 1 2)              98.673
597        (1 0 3 1 2 1 2)              98.675
598        (1 0 3 1 1 1 1)              98.653
599        (1 0 3 1 2 1 2)              98.655
600        (1 0 2 3 1 1 1)              98.658
601        (1 0 2 3 2 1 2)              98.660
602        (1 0 2 3 2 1 2)              98.662
603        (1 0 2 3 2 1 2)              98.664
604        (1 0 1 2 1 1 1)              98.667
605        (1 0 3 1 2 1 2)              98.669
606        (1 0 3 1 2 1 2)              98.671
607        (1 0 1 2 1 1 1)              98.673
608        (1 0 2 3 2 1 2)              98.675
609        (1 0 2 3 2 1 2)              98.678
610        (1 0 2 3 2 1 2)              98.680
611        (1 0 3 1 2 1 2)              98.682
612        (1 0 2 3 2 1 2)              98.684
613        (1 0 2 3 2 1 2)              98.686
614        (1 0 3 1 2 1 2)              98.689
615        (1 0 3 1 2 1 2)              98.667
616        (1 0 1 2 1 2 1)              98.669
617        (1 0 2 3 2 1 2)              98.672
618        (1 0 2 3 2 1 2)              98.674
619        (1 0 2 3 2 1 2)              98.676
620        (1 0 2 3 2 1 2)              98.678
621        (1 0 2 3 1 2 1)              98.680
622        (1 0 1 2 1 1 1)              98.682
623        (1 0 0 0 1 2 0)              98.685
624        (1 0 2 3 1 2 1)              98.687
625        (1 0 3 1 2 1 1)              98.666
626        (1 0 2 3 2 1 2)              98.668
627        (1 0 2 3 2 1 2)              98.670
628        (1 0 2 3 2 1 2)              98.672
629        (1 0 2 3 2 1 2)              98.674
630        (1 0 2 3 2 1 2)              98.676
631        (1 0 3 1 2 1 2)              98.679
632        (1 0 1 2 1 2 1)              98.681
633        (1 0 3 1 2 1 2)              98.683
634        (1 0 1 2 1 1 1)              98.685
635        (1 0 1 2 1 0 1)              98.596
636        (1 0 3 1 1 1 1)              98.553
637        (1 0 2 3 2 1 2)              98.556
638        (1 0 2 3 2 1 2)              98.558
