No         Predictions            Accuracy [%]
75         (1 0 2 3 2 1 1)              88.910
76         (1 0 3 1 2 1 2)              88.683
77         (0 0 4 5 2 2 1)              88.278
78         (1 0 1 2 1 1 1)              88.427
79         (0 0 1 2 1 1 1)              88.393
80         (1 0 2 3 2 1 2)              88.536
81         (0 0 4 6 1 2 1)              87.979
82         (1 0 2 3 1 2 1)              88.124
83         (1 0 2 3 2 1 1)              87.755
84         (1 0 2 3 2 1 2)              87.563
85         (1 0 1 2 1 1 1)              87.708
86         (1 0 3 1 2 1 2)              87.849
87         (1 0 3 1 2 1 2)              87.987
88         (1 0 3 1 2 1 2)              88.122
89         (1 0 2 3 2 1 2)              88.254
90         (1 0 3 1 2 1 2)              88.069
91         (1 0 3 1 2 1 2)              88.199
92         (1 0 2 3 2 1 2)              88.018
93         (1 0 1 2 1 1 1)              88.146
94         (1 0 1 2 1 1 1)              88.271
95         (1 0 1 2 1 1 1)              88.393
96         (1 0 3 1 2 1 2)              88.513
97         (1 0 2 3 2 1 2)              88.630
98         (1 0 2 3 2 1 2)              88.600
99         (1 0 3 1 2 1 2)              88.714
100        (1 0 1 2 1 1 1)              88.685
101        (1 0 2 3 2 1 2)              88.796
102        (1 0 0 0 2 2 1)              88.904
103        (0 0 4 3 2 1 1)              88.462
104        (1 0 2 3 2 1 2)              88.571
105        (1 0 2 3 2 1 2)              88.679
106        (1 0 1 2 1 1 1)              88.785
107        (1 0 3 1 2 1 2)              88.889
108        (1 0 3 1 2 1 2)              88.991
109        (1 0 1 2 1 2 1)              88.831
110        (0 0 4 3 2 1 1)              88.417
111        (1 0 1 2 1 1 1)              88.520
112        (1 0 3 1 2 1 2)              88.369
113        (0 0 4 6 1 2 1)              87.845
114        (1 0 2 3 2 1 2)              87.329
115        (1 0 2 3 2 1 2)              87.438
116        (1 0 1 2 0 0 1)              87.546
117        (1 0 2 3 2 1 2)              87.046
118        (1 0 3 1 1 1 1)              86.915
119        (1 0 2 3 2 1 2)              86.786
120        (1 0 2 3 2 1 2)              86.895
121        (1 0 2 3 2 1 2)              87.002
122        (1 0 1 2 1 2 1)              86.643
123        (1 0 1 2 1 1 1)              86.751
124        (1 0 2 3 1 2 1)              86.857
125        (0 0 4 3 2 1 1)              86.508
126        (1 0 1 2 1 1 1)              86.614
127        (1 0 2 3 2 1 2)              86.719
128        (1 0 0 0 2 2 1)              86.822
129        (1 0 3 1 2 1 2)              86.813
130        (1 0 2 3 2 1 2)              86.914
131        (1 0 3 1 2 1 2)              86.472
132        (0 0 4 6 1 2 1)              86.251
133        (1 0 3 1 2 1 2)              86.141
134        (1 0 3 1 2 1 2)              86.032
135        (1 0 3 1 2 1 2)              85.924
136        (1 0 1 2 1 1 1)              86.027
137        (1 0 2 3 2 1 2)              86.025
138        (1 0 2 3 2 1 2)              86.125
139        (1 0 1 2 0 0 1)              86.224
140        (1 0 3 1 2 1 2)              86.322
141        (1 0 1 2 1 1 1)              86.419
142        (0 0 1 2 1 1 1)              86.414
143        (1 0 2 3 2 1 2)              86.210
144        (1 0 2 3 2 1 2)              86.305
145        (1 0 3 1 2 1 2)              86.204
146        (1 0 3 1 2 1 2)              86.297
147        (1 0 2 3 2 1 2)              86.293
148        (1 0 0 0 2 2 1)              86.385
149        (1 0 1 2 1 1 1)              86.476
150        (1 0 3 1 2 1 2)              86.566
151        (0 0 1 2 1 2 1)              86.466
152        (1 0 2 3 2 1 2)              86.368
153        (1 0 3 1 2 1 1)              86.456
154        (1 0 3 1 2 1 2)              86.359
155        (1 0 2 3 1 2 1)              86.447
156        (1 0 1 2 1 1 1)              86.533
157        (0 0 4 5 2 2 1)              86.347
158        (1 0 1 2 1 2 1)              86.343
159        (1 0 2 3 2 1 2)              86.429
160        (1 0 1 2 1 2 1)              86.424
161        (1 0 2 3 2 1 2)              86.332
162        (1 0 2 3 2 1 2)              86.328
163        (1 0 2 3 2 1 2)              86.411
164        (1 0 3 1 2 1 2)              86.320
165        (1 0 2 3 2 1 1)              86.317
166        (1 0 1 2 1 2 1)              86.313
167        (1 0 2 3 2 1 2)              86.395
168        (1 0 3 1 2 1 2)              86.475
169        (1 0 3 1 2 1 2)              86.555
170        (1 0 2 3 2 1 2)              86.216
171        (1 0 2 3 2 1 2)              86.296
172        (1 0 2 3 2 1 1)              86.127
173        (0 0 1 2 1 1 1)              85.878
174        (1 0 2 3 2 1 2)              85.796
175        (1 0 2 3 2 1 2)              85.877
176        (1 0 2 3 2 1 2)              85.795
177        (1 0 1 2 1 1 1)              85.875
178        (1 0 2 3 2 1 2)              85.954
179        (1 0 1 2 1 1 1)              86.032
180        (1 0 3 1 2 1 2)              86.109
181        (1 0 2 3 2 1 2)              86.028
182        (1 0 3 1 2 1 2)              86.027
183        (0 0 4 5 0 0 1)              85.870
184        (1 0 3 1 2 1 2)              85.637
185        (0 0 4 6 1 2 1)              85.407
186        (1 0 1 2 1 1 1)              85.485
187        (1 0 2 3 2 1 2)              85.562
188        (1 0 2 3 2 1 2)              85.563
189        (1 0 3 1 2 1 2)              85.489
190        (1 0 1 2 1 1 1)              85.565
191        (1 0 2 3 2 1 2)              85.640
192        (1 0 3 1 2 1 2)              85.714
193        (1 0 2 3 2 1 2)              85.788
194        (1 0 0 0 2 2 1)              85.861
195        (1 0 3 1 2 1 2)              85.787
196        (1 0 1 2 1 2 1)              85.787
197        (1 0 2 3 2 1 2)              85.859
198        (1 0 1 2 1 1 1)              85.930
199        (1 0 2 3 2 1 2)              86.000
200        (1 0 2 3 2 1 2)              86.070
201        (1 0 2 3 2 1 2)              86.139
202        (0 0 1 2 1 1 1)              86.137
203        (1 0 1 2 1 1 1)              86.204
204        (1 0 1 2 1 1 1)              86.272
205        (1 0 1 2 1 1 1)              86.338
206        (1 0 2 3 2 1 1)              86.335
207        (0 0 2 3 1 2 1)              86.126
208        (1 0 2 3 2 1 2)              85.988
209        (0 0 4 6 1 2 2)              85.782
210        (1 0 2 3 2 1 2)              85.850
211        (1 0 2 3 2 1 2)              85.849
212        (1 0 3 1 2 1 2)              85.915
213        (1 0 2 3 2 1 2)              85.981
214        (1 0 2 3 2 1 2)              86.047
215        (1 0 3 1 1 1 1)              86.111
216        (1 0 2 3 2 1 2)              86.043
217        (1 0 2 3 2 1 2)              86.107
218        (0 0 1 2 1 1 1)              86.106
219        (1 0 3 1 2 1 2)              86.039
220        (1 0 2 3 2 1 2)              86.102
221        (1 0 2 3 1 2 1)              86.165
222        (1 0 3 1 2 1 2)              86.163
223        (1 0 3 1 2 1 2)              86.224
224        (1 0 3 1 2 1 2)              86.286
225        (1 0 2 3 2 1 2)              86.220
226        (1 0 1 2 1 2 1)              86.155
227        (1 0 2 3 2 1 2)              86.216
228        (1 0 3 1 2 1 2)              86.276
229        (1 0 3 1 2 1 2)              86.335
230        (1 0 2 3 2 1 2)              86.395
231        (1 0 3 1 2 1 2)              86.207
232        (1 0 2 3 2 1 2)              86.266
233        (1 0 3 1 2 1 2)              86.264
234        (1 0 2 3 2 1 2)              86.322
235        (0 0 1 2 1 1 1)              86.259
236        (1 0 2 3 2 1 2)              86.317
237        (1 0 3 1 2 1 2)              86.255
238        (1 0 3 1 2 1 2)              86.133
239        (1 0 4 5 2 2 2)              86.012
240        (1 0 2 3 2 1 2)              86.070
241        (1 0 2 3 1 0 1)              86.068
242        (0 0 1 2 1 1 1)              86.067
243        (1 0 3 1 2 1 2)              86.007
244        (1 0 2 3 2 1 2)              86.006
245        (1 0 3 1 2 1 2)              86.063
246        (1 0 1 2 1 2 1)              86.061
247        (1 0 2 3 2 1 2)              86.118
248        (1 0 2 3 2 1 2)              86.116
249        (1 0 2 3 2 1 2)              86.057
250        (1 0 2 3 2 1 2)              85.942
251        (1 0 3 1 2 1 2)              85.998
252        (1 0 2 3 2 1 2)              86.053
253        (1 0 2 3 2 1 2)              86.108
254        (1 0 1 2 1 1 1)              86.162
255        (1 0 2 3 2 1 2)              86.217
256        (1 0 3 1 2 1 2)              86.215
257        (1 0 3 1 2 1 2)              86.268
258        (1 0 2 3 2 1 2)              86.321
259        (0 0 1 2 1 1 1)              86.319
260        (1 0 3 1 2 1 2)              86.371
261        (1 0 3 1 2 1 2)              86.314
262        (1 0 2 3 2 1 2)              86.366
263        (1 0 2 3 2 1 2)              86.418
264        (1 0 3 1 2 1 2)              86.361
265        (1 0 3 1 2 1 2)              86.144
266        (1 0 3 1 2 1 2)              86.196
267        (1 0 2 3 2 1 2)              86.247
268        (1 0 3 1 2 1 2)              86.033
269        (1 0 0 0 2 2 1)              86.085
270        (1 0 3 1 2 1 2)              86.136
271        (1 0 1 2 1 0 1)              86.029
272        (1 0 2 3 2 1 2)              86.081
273        (1 0 3 1 1 1 1)              86.027
274        (1 0 2 3 2 1 2)              86.078
275        (1 0 2 3 2 1 2)              86.025
276        (1 0 3 1 2 1 2)              86.075
277        (1 0 3 1 2 1 2)              86.125
278        (1 0 3 1 2 1 2)              86.124
279        (1 0 3 1 2 1 2)              86.173
280        (1 0 0 0 1 0 1)              86.223
281        (1 0 2 3 2 1 2)              86.272
282        (1 0 2 3 2 1 2)              86.320
283        (1 0 2 3 2 1 2)              86.368
284        (1 0 2 3 2 1 2)              86.316
285        (1 0 2 3 2 1 2)              86.264
286        (1 0 2 3 2 1 2)              86.312
287        (1 0 1 2 1 1 1)              86.359
288        (1 0 1 2 1 1 1)              86.406
289        (1 0 2 3 2 1 2)              86.453
290        (1 0 1 2 1 1 1)              86.500
291        (1 0 3 1 2 1 2)              86.546
292        (1 0 3 1 2 1 2)              86.494
293        (1 0 3 1 2 1 2)              86.540
294        (1 0 1 2 1 1 1)              86.586
295        (1 0 2 3 2 1 2)              86.631
296        (1 0 2 3 2 1 2)              86.676
297        (1 0 1 2 1 1 1)              86.721
298        (1 0 1 2 1 1 1)              86.765
299        (1 0 3 1 2 1 2)              86.810
300        (1 0 1 2 1 1 1)              86.853
301        (1 0 2 3 2 1 2)              86.897
302        (1 0 3 1 2 1 2)              86.940
303        (1 0 2 3 2 1 2)              86.983
304        (1 0 3 1 2 1 2)              86.932
305        (1 0 3 1 2 1 2)              86.928
306        (1 0 1 2 1 1 1)              86.971
307        (1 0 3 1 2 1 2)              86.920
308        (1 0 2 3 2 1 2)              86.963
309        (1 0 3 1 2 1 2)              87.005
310        (1 0 1 2 1 1 1)              87.046
311        (1 0 3 1 2 1 2)              86.996
312        (0 1 4 6 0 0 1)              86.855
313        (1 0 2 3 2 1 2)              86.897
314        (1 0 2 3 2 2 1)              86.939
315        (1 0 2 3 2 1 2)              86.980
316        (1 0 2 3 2 1 2)              86.931
317        (1 0 0 0 2 2 1)              86.972
318        (1 0 2 3 2 1 2)              87.013
319        (1 0 3 1 2 1 2)              87.054
320        (1 0 0 0 1 2 0)              87.094
321        (1 0 2 3 2 1 2)              87.134
322        (1 0 3 1 2 1 2)              87.130
323        (1 0 2 3 2 1 2)              87.169
324        (1 0 2 3 2 1 2)              87.209
325        (1 0 2 3 2 1 2)              87.248
326        (1 0 2 3 2 1 2)              87.243
327        (1 0 2 3 2 1 2)              87.282
328        (1 0 1 2 1 1 1)              87.321
329        (1 0 2 3 2 1 2)              87.359
330        (1 0 3 1 2 1 2)              87.354
332        (0 0 1 2 1 1 1)              87.263
333        (1 0 1 2 1 2 1)              87.302
334        (1 0 2 3 2 1 2)              87.340
335        (1 0 3 1 2 1 2)              87.207
336        (1 0 2 3 1 2 1)              87.245
337        (1 0 0 0 2 2 1)              87.283
339        (1 0 2 3 2 1 2)              87.320
340        (1 0 2 3 2 1 2)              87.358
341        (1 0 2 3 2 1 2)              87.395
342        (1 0 2 3 2 1 2)              87.432
343        (1 0 3 1 2 1 2)              87.469
344        (1 0 1 2 1 1 1)              87.505
345        (1 0 2 3 2 1 2)              87.542
346        (1 0 2 3 2 1 2)              87.578
347        (1 0 2 3 2 1 2)              87.531
348        (1 0 2 3 2 1 2)              87.567
349        (1 0 2 3 2 1 2)              87.603
350        (1 0 3 1 2 1 2)              87.638
351        (1 0 3 1 2 1 2)              87.673
352        (1 0 2 3 2 1 2)              87.627
353        (1 0 3 1 2 1 2)              87.662
354        (1 0 2 3 2 1 2)              87.697
355        (1 0 3 1 2 1 2)              87.651
356        (1 0 2 3 2 1 2)              87.606
357        (1 0 2 3 2 1 2)              87.560
358        (1 0 3 1 2 1 2)              87.515
359        (1 0 3 1 2 1 2)              87.550
360        (1 0 1 2 1 2 1)              87.505
361        (1 0 2 3 2 1 2)              87.540
362        (1 0 1 2 1 2 1)              87.535
363        (1 0 2 3 2 1 2)              87.569
364        (1 0 2 3 2 1 2)              87.603
365        (0 0 0 4 1 2 0)              87.480
366        (1 0 2 3 2 1 2)              87.515
367        (1 0 3 1 2 1 2)              87.549
368        (1 0 0 0 2 2 1)              87.583
369        (0 0 1 2 1 1 1)              87.578
370        (1 0 2 3 2 1 2)              87.534
371        (1 0 1 2 1 1 1)              87.568
372        (1 0 2 3 2 1 2)              87.601
373        (1 0 2 3 2 2 1)              87.634
374        (1 0 1 2 1 1 1)              87.668
375        (1 0 3 1 2 1 2)              87.624
376        (1 0 2 3 1 2 1)              87.657
377        (1 0 1 2 1 1 1)              87.690
378        (1 0 3 1 2 1 2)              87.571
379        (1 0 2 3 2 1 2)              87.604
380        (0 0 1 2 1 1 1)              87.599
381        (1 0 2 3 2 1 2)              87.632
382        (1 0 1 2 1 1 1)              87.664
383        (1 0 2 3 2 1 2)              87.696
384        (1 0 2 3 2 1 2)              87.691
385        (1 0 2 3 2 1 2)              87.723
386        (1 0 2 3 2 1 2)              87.681
387        (1 0 2 3 2 1 2)              87.713
388        (1 0 2 3 1 2 1)              87.634
389        (1 0 2 3 2 1 2)              87.666
390        (1 0 2 3 1 2 1)              87.624
391        (1 0 3 1 2 1 2)              87.582
392        (1 0 3 1 1 1 1)              87.614
394        (1 0 3 1 2 1 2)              87.646
395        (0 0 4 6 0 0 1)              87.568
396        (1 0 2 3 2 1 2)              87.600
397        (1 0 3 1 2 1 2)              87.631
398        (1 0 3 1 2 1 2)              87.626
399        (1 0 3 1 2 1 2)              87.657
400        (1 0 2 3 2 1 2)              87.617
401        (1 0 3 1 2 1 2)              87.612
402        (1 0 2 3 2 1 2)              87.643
403        (1 0 2 3 2 1 2)              87.674
404        (1 0 2 3 2 1 2)              87.704
405        (1 0 3 1 2 1 2)              87.735
406        (1 0 3 1 2 1 2)              87.694
407        (1 0 2 3 2 1 2)              87.654
408        (1 0 3 1 2 1 2)              87.614
409        (1 0 3 1 2 1 2)              87.469
410        (1 0 2 3 2 1 2)              87.500
411        (1 0 2 3 2 1 2)              87.531
412        (1 0 2 3 2 1 2)              87.561
413        (1 0 2 3 2 1 2)              87.417
414        (1 0 2 3 2 1 2)              87.379
415        (1 0 1 2 1 1 1)              87.409
416        (1 0 3 1 2 1 2)              87.440
417        (1 0 1 2 1 2 1)              87.367
418        (1 0 2 3 2 1 2)              87.397
419        (1 0 2 3 2 1 2)              87.359
420        (1 0 3 1 2 1 2)              87.389
421        (0 0 4 5 2 2 1)              87.249
422        (1 0 1 2 1 1 1)              87.279
423        (1 0 3 1 2 1 2)              87.241
425        (1 0 2 3 2 1 2)              87.238
426        (1 0 3 1 2 1 2)              87.234
427        (1 0 1 2 1 1 1)              87.264
428        (1 0 2 3 2 1 2)              87.193
429        (1 0 1 2 1 1 1)              87.223
430        (1 0 2 3 2 1 2)              87.220
431        (1 0 0 0 2 2 1)              87.250
432        (0 0 1 2 1 1 1)              87.246
433        (1 0 1 2 1 1 1)              87.276
434        (1 0 2 3 2 1 2)              87.305
435        (1 0 2 3 2 1 2)              87.335
436        (1 0 1 2 1 1 1)              87.364
437        (1 0 2 3 2 1 2)              87.393
438        (1 0 2 3 2 1 2)              87.422
439        (1 0 2 3 2 1 2)              87.451
440        (1 0 3 1 1 1 1)              87.480
441        (1 0 3 1 2 1 2)              87.443
442        (1 0 1 2 2 2 1)              87.472
443        (0 0 4 2 2 2 1)              87.338
444        (1 0 3 1 2 1 2)              87.366
445        (1 0 2 3 2 1 2)              87.395
446        (1 0 2 3 2 1 2)              87.359
447        (1 0 2 3 2 1 2)              87.387
448        (1 0 2 3 2 1 2)              87.384
449        (1 0 2 3 2 1 2)              87.412
450        (1 0 2 3 2 1 2)              87.440
451        (1 0 2 3 2 1 2)              87.468
452        (1 0 2 3 2 1 2)              87.496
453        (0 0 1 2 1 1 1)              87.460
454        (1 0 1 2 1 1 1)              87.488
455        (1 0 1 2 1 1 1)              87.516
456        (1 0 1 2 1 2 1)              87.449
457        (1 0 2 3 2 1 1)              87.445
458        (1 0 2 3 2 1 2)              87.473
459        (1 0 1 2 2 2 1)              87.437
460        (1 0 2 3 2 1 2)              87.465
461        (1 0 2 3 2 1 2)              87.492
462        (1 0 4 5 2 2 2)              87.426
463        (1 0 2 3 2 1 1)              87.422
464        (1 0 2 3 2 1 2)              87.450
465        (1 0 1 2 1 1 1)              87.477
466        (1 0 2 3 2 1 2)              87.504
467        (0 0 2 3 1 2 1)              87.469
468        (1 0 3 1 2 1 2)              87.496
469        (1 0 2 3 2 1 2)              87.523
470        (1 0 2 3 2 1 2)              87.489
471        (1 0 2 3 2 1 2)              87.515
472        (1 0 1 2 1 2 1)              87.511
473        (1 0 2 3 2 1 2)              87.508
474        (1 0 2 3 2 1 2)              87.504
475        (1 0 3 1 2 1 2)              87.500
476        (1 0 3 1 2 1 2)              87.526
477        (1 0 3 1 2 1 2)              87.553
478        (1 0 3 1 2 1 2)              87.579
479        (1 0 2 3 2 1 2)              87.545
480        (1 0 2 3 2 1 2)              87.571
481        (1 0 2 3 2 1 2)              87.597
482        (1 0 3 1 2 1 2)              87.593
483        (1 0 3 1 2 1 2)              87.500
484        (1 0 2 3 2 1 2)              87.526
485        (1 0 2 3 2 1 2)              87.493
486        (1 0 2 3 1 2 1)              87.518
487        (1 0 3 1 2 1 2)              87.544
488        (1 0 1 2 1 1 1)              87.570
489        (0 0 1 2 2 1 1)              87.478
490        (1 0 2 3 2 1 2)              87.504
491        (1 0 2 3 1 2 1)              87.529
492        (1 0 2 3 1 2 1)              87.555
493        (1 0 2 3 2 1 2)              87.522
494        (1 0 2 3 2 1 2)              87.547
495        (1 0 2 3 2 1 2)              87.515
496        (1 0 2 3 2 1 2)              87.540
497        (1 0 2 3 2 1 2)              87.536
498        (1 0 1 2 1 1 1)              87.446
499        (0 0 1 2 1 2 1)              87.414
500        (1 0 3 1 2 1 2)              87.410
501        (1 0 1 2 1 1 1)              87.321
502        (0 0 4 5 2 2 1)              87.260
503        (1 0 3 1 2 1 2)              87.229
504        (1 0 2 3 1 2 1)              87.254
505        (1 0 2 3 2 1 2)              87.279
506        (1 0 3 1 2 1 2)              87.248
507        (1 0 2 3 2 1 2)              87.273
508        (1 0 3 1 2 1 2)              87.298
509        (1 0 2 3 2 1 2)              87.324
510        (1 0 1 2 1 1 1)              87.349
511        (1 0 3 1 2 1 2)              87.233
512        (1 0 1 2 1 1 1)              87.258
513        (1 0 2 3 2 1 2)              87.283
514        (1 0 3 1 2 1 2)              87.308
515        (1 0 3 1 2 1 2)              87.333
516        (1 0 2 3 2 2 1)              87.357
517        (1 0 3 1 2 1 2)              87.382
518        (1 0 2 3 2 1 2)              87.406
519        (1 0 3 1 2 1 2)              87.403
520        (1 0 3 1 2 1 2)              87.372
521        (1 0 2 3 2 1 2)              87.397
522        (1 0 3 1 2 1 2)              87.366
523        (1 0 3 1 2 1 2)              87.390
524        (1 0 3 1 2 1 2)              87.387
525        (1 0 2 3 2 1 2)              87.356
526        (1 0 3 1 2 1 2)              87.380
527        (1 0 2 3 2 1 2)              87.405
528        (1 0 0 0 2 2 1)              87.429
529        (0 0 1 2 2 1 2)              87.371
530        (1 0 3 1 2 1 2)              87.341
531        (1 0 3 1 2 1 2)              87.311
532        (1 0 1 2 1 1 1)              87.335
533        (1 0 3 1 2 1 2)              87.358
534        (1 0 1 2 1 2 1)              87.355
535        (1 0 2 3 2 1 2)              87.379
536        (1 0 3 1 2 1 2)              87.349
537        (1 0 2 3 1 2 1)              87.346
538        (0 0 4 6 1 2 1)              87.263
539        (1 0 3 1 2 1 2)              87.287
540        (1 0 1 2 1 1 1)              87.310
541        (1 0 3 1 2 1 2)              87.334
542        (1 0 3 1 2 1 2)              87.305
543        (0 0 1 2 0 0 1)              87.302
544        (1 0 2 3 2 1 2)              87.325
545        (1 0 2 3 2 1 2)              87.348
546        (1 0 2 3 2 1 2)              87.345
547        (1 0 2 3 2 1 2)              87.369
548        (1 0 3 1 2 1 2)              87.392
549        (1 0 1 2 0 0 1)              87.415
550        (1 0 2 3 1 2 1)              87.334
551        (1 0 1 2 1 2 1)              87.331
552        (1 0 1 2 1 1 1)              87.354
553        (0 0 0 4 1 2 0)              87.247
554        (1 0 3 1 2 1 2)              87.218
555        (1 0 2 3 2 1 2)              87.241
556        (0 0 1 2 1 1 1)              87.187
557        (1 0 3 1 2 1 2)              87.158
558        (1 0 2 3 2 1 2)              87.130
559        (1 0 2 3 2 1 2)              87.153
560        (1 0 2 3 2 1 2)              87.176
561        (1 0 2 3 2 1 2)              87.199
562        (1 0 1 2 1 1 1)              87.222
563        (1 0 2 3 2 1 2)              87.194
564        (1 0 2 3 2 1 2)              87.217
565        (1 0 2 3 2 1 2)              87.239
566        (1 0 2 3 2 1 2)              87.262
567        (1 0 3 1 2 1 2)              87.285
568        (1 0 3 1 2 1 2)              87.257
569        (1 0 2 3 2 1 2)              87.229
570        (1 0 2 3 2 1 2)              87.201
571        (1 0 1 2 1 1 1)              87.223
572        (1 0 2 3 2 1 2)              87.246
573        (1 0 2 3 2 1 2)              87.268
574        (1 0 2 3 2 1 2)              87.290
575        (1 0 2 3 2 1 2)              87.313
576        (1 0 3 1 2 1 2)              87.285
577        (1 0 3 1 2 1 2)              87.208
578        (1 0 2 3 2 1 2)              87.180
579        (1 0 3 1 2 1 2)              87.202
580        (1 0 3 1 2 1 2)              87.225
581        (1 0 3 1 2 1 2)              87.247
582        (1 0 1 2 1 1 1)              87.170
583        (1 0 2 3 1 2 1)              87.192
584        (1 0 2 3 2 1 2)              87.214
585        (1 0 2 3 2 1 2)              87.236
586        (1 0 2 3 2 1 2)              87.258
587        (1 0 3 1 2 1 2)              87.280
588        (1 0 2 3 2 1 2)              87.302
589        (1 0 1 2 0 0 0)              87.226
590        (1 0 1 2 1 1 1)              87.150
591        (1 0 2 3 2 1 2)              87.172
592        (1 0 3 1 2 1 2)              87.194
593        (1 0 2 3 2 1 2)              87.215
594        (1 0 2 3 2 2 1)              87.237
595        (1 0 3 1 2 1 2)              87.259
596        (1 0 2 3 2 1 2)              87.280
597        (1 0 3 1 2 1 2)              87.302
598        (1 0 3 1 2 1 2)              87.299
599        (1 0 3 1 2 1 2)              87.320
600        (1 0 2 3 2 1 2)              87.294
601        (1 0 2 3 2 1 2)              87.315
602        (1 0 2 3 2 1 2)              87.336
603        (1 0 2 3 2 1 2)              87.357
604        (1 0 1 2 1 1 1)              87.378
605        (1 0 3 1 2 1 2)              87.399
606        (1 0 2 3 2 1 2)              87.373
607        (1 0 1 2 1 1 1)              87.394
608        (1 0 2 3 2 1 2)              87.414
609        (1 0 2 3 2 1 2)              87.435
610        (1 0 2 3 2 1 2)              87.456
611        (1 0 3 1 2 1 2)              87.477
612        (1 0 2 3 2 1 2)              87.497
613        (1 0 2 3 2 1 2)              87.518
614        (1 0 3 1 2 1 1)              87.515
615        (1 0 3 1 2 1 2)              87.512
616        (0 0 1 2 1 1 1)              87.485
617        (1 0 2 3 2 1 2)              87.506
618        (1 0 2 3 2 1 2)              87.526
619        (1 0 2 3 2 1 2)              87.546
620        (1 0 2 3 2 1 2)              87.567
621        (1 0 2 3 1 2 1)              87.587
622        (1 0 1 2 1 1 1)              87.607
623        (1 0 0 0 1 2 0)              87.627
624        (0 0 1 2 1 1 1)              87.555
625        (1 0 3 1 2 1 2)              87.575
626        (1 0 3 1 2 1 2)              87.549
627        (1 0 2 3 2 1 2)              87.569
628        (1 0 2 3 2 1 2)              87.589
629        (1 0 2 3 2 1 2)              87.608
630        (1 0 3 1 2 1 2)              87.583
631        (1 0 3 1 2 1 2)              87.602
632        (1 0 1 2 1 2 1)              87.622
633        (1 0 2 3 2 1 2)              87.596
634        (1 0 1 2 1 1 1)              87.616
635        (0 0 4 6 0 0 1)              87.545
636        (1 0 3 1 2 1 2)              87.565
637        (1 0 2 3 2 1 2)              87.584
