sample_id,pred_task1,pred_task2,pred_task3,pred_task4,pred_task5,pred_task6,pred_task7
103,0,0,4,3,2,1,1
104,1,0,2,3,2,1,2
105,1,0,2,3,2,1,2
106,1,0,1,2,1,1,1
107,1,0,3,1,2,1,2
108,1,0,3,1,2,1,2
109,1,0,1,2,1,2,1
110,0,0,4,3,2,1,1
111,1,0,1,2,1,1,1
112,1,0,3,1,2,1,2
113,0,0,4,6,1,2,1
114,1,0,2,3,2,1,2
115,1,0,2,3,2,1,2
116,1,0,1,2,0,0,1
117,1,0,2,3,2,1,2
118,1,0,3,1,1,1,1
119,1,0,2,3,2,1,2
120,1,0,2,3,2,1,2
121,1,0,2,3,2,1,2
122,1,0,1,2,1,2,1
123,1,0,1,2,1,1,1
124,1,0,2,3,1,2,1
125,0,0,4,3,2,1,1
126,1,0,1,2,1,1,1
127,1,0,2,3,2,1,2
128,1,0,0,0,2,2,1
129,1,0,3,1,2,1,2
130,1,0,2,3,2,1,2
131,1,0,3,1,2,1,2
132,0,0,4,6,1,2,1
133,1,0,3,1,2,1,2
134,1,0,3,1,2,1,2
135,1,0,3,1,2,1,2
136,1,0,1,2,1,1,1
137,1,0,2,3,2,1,2
138,1,0,2,3,2,1,2
139,1,0,1,2,0,0,1
140,1,0,3,1,2,1,2
141,1,0,1,2,1,1,1
142,0,0,1,2,1,1,1
143,1,0,2,3,2,1,2
144,1,0,2,3,2,1,2
145,1,0,3,1,2,1,2
146,1,0,3,1,2,1,2
147,1,0,2,3,2,1,2
148,1,0,0,0,2,2,1
149,1,0,1,2,1,1,1
150,1,0,3,1,2,1,2
151,0,0,1,2,1,2,1
152,1,0,2,3,2,1,2
153,1,0,3,1,2,1,1
154,1,0,3,1,2,1,2
155,1,0,2,3,1,2,1
156,1,0,1,2,1,1,1
157,0,0,4,5,2,2,1
158,1,0,1,2,1,2,1
159,1,0,2,3,2,1,2
160,1,0,1,2,1,2,1
161,1,0,2,3,2,1,2
162,1,0,2,3,2,1,2
163,1,0,2,3,2,1,2
164,1,0,3,1,2,1,2
165,1,0,2,3,2,1,1
166,1,0,1,2,1,2,1
167,1,0,2,3,2,1,2
168,1,0,3,1,2,1,2
169,1,0,3,1,2,1,2
170,1,0,2,3,2,1,2
171,1,0,2,3,2,1,2
172,1,0,2,3,2,1,1
173,0,0,1,2,1,1,1
174,1,0,2,3,2,1,2
175,1,0,2,3,2,1,2
176,1,0,2,3,2,1,2
177,1,0,1,2,1,1,1
178,1,0,2,3,2,1,2
179,1,0,1,2,1,1,1
180,1,0,3,1,2,1,2
181,1,0,2,3,2,1,2
182,1,0,3,1,2,1,2
183,0,0,4,5,0,0,1
184,1,0,3,1,2,1,2
185,0,0,4,6,1,2,1
186,1,0,1,2,1,1,1
187,1,0,2,3,2,1,2
188,1,0,2,3,2,1,2
189,1,0,3,1,2,1,2
190,1,0,1,2,1,1,1
191,1,0,2,3,2,1,2
192,1,0,3,1,2,1,2
193,1,0,2,3,2,1,2
194,1,0,0,0,2,2,1
195,1,0,3,1,2,1,2
196,1,0,1,2,1,2,1
197,1,0,2,3,2,1,2
198,1,0,1,2,1,1,1
199,1,0,2,3,2,1,2
200,1,0,2,3,2,1,2
201,1,0,2,3,2,1,2
202,0,0,1,2,1,1,1
203,1,0,1,2,1,1,1
204,1,0,1,2,1,1,1
205,1,0,1,2,1,1,1
206,1,0,2,3,2,1,1
207,0,0,2,3,1,2,1
208,1,0,2,3,2,1,2
209,0,0,4,6,1,2,2
210,1,0,2,3,2,1,2
211,1,0,2,3,2,1,2
212,1,0,3,1,2,1,2
213,1,0,2,3,2,1,2
214,1,0,2,3,2,1,2
215,1,0,3,1,1,1,1
216,1,0,2,3,2,1,2
217,1,0,2,3,2,1,2
218,0,0,1,2,1,1,1
219,1,0,3,1,2,1,2
220,1,0,2,3,2,1,2
221,1,0,2,3,1,2,1
222,1,0,3,1,2,1,2
223,1,0,3,1,2,1,2
224,1,0,3,1,2,1,2
225,1,0,2,3,2,1,2
226,1,0,1,2,1,2,1
227,1,0,2,3,2,1,2
228,1,0,3,1,2,1,2
229,1,0,3,1,2,1,2
230,1,0,2,3,2,1,2
231,1,0,3,1,2,1,2
232,1,0,2,3,2,1,2
233,1,0,3,1,2,1,2
234,1,0,2,3,2,1,2
235,0,0,1,2,1,1,1
236,1,0,2,3,2,1,2
237,1,0,3,1,2,1,2
238,1,0,3,1,2,1,2
239,1,0,4,5,2,2,2
240,1,0,2,3,2,1,2
241,1,0,2,3,1,0,1
242,0,0,1,2,1,1,1
243,1,0,3,1,2,1,2
244,1,0,2,3,2,1,2
245,1,0,3,1,2,1,2
246,1,0,1,2,1,2,1
247,1,0,2,3,2,1,2
248,1,0,2,3,2,1,2
249,1,0,2,3,2,1,2
250,1,0,2,3,2,1,2
251,1,0,3,1,2,1,2
252,1,0,2,3,2,1,2
253,1,0,2,3,2,1,2
254,1,0,1,2,1,1,1
255,1,0,2,3,2,1,2
256,1,0,3,1,2,1,2
257,1,0,3,1,2,1,2
258,1,0,2,3,2,1,2
259,0,0,1,2,1,1,1
260,1,0,3,1,2,1,2
261,1,0,3,1,2,1,2
262,1,0,2,3,2,1,2
263,1,0,2,3,2,1,2
264,1,0,3,1,2,1,2
265,1,0,3,1,2,1,2
266,1,0,3,1,2,1,2
267,1,0,2,3,2,1,2
268,1,0,3,1,2,1,2
269,1,0,0,0,2,2,1
270,1,0,3,1,2,1,2
271,1,0,1,2,1,0,1
272,1,0,2,3,2,1,2
273,1,0,3,1,1,1,1
274,1,0,2,3,2,1,2
275,1,0,2,3,2,1,2
276,1,0,3,1,2,1,2
277,1,0,3,1,2,1,2
278,1,0,3,1,2,1,2
279,1,0,3,1,2,1,2
280,1,0,0,0,1,0,1
281,1,0,2,3,2,1,2
282,1,0,2,3,2,1,2
283,1,0,2,3,2,1,2
284,1,0,2,3,2,1,2
285,1,0,2,3,2,1,2
286,1,0,2,3,2,1,2
287,1,0,1,2,1,1,1
288,1,0,1,2,1,1,1
289,1,0,2,3,2,1,2
290,1,0,1,2,1,1,1
291,1,0,3,1,2,1,2
292,1,0,3,1,2,1,2
293,1,0,3,1,2,1,2
294,1,0,1,2,1,1,1
295,1,0,2,3,2,1,2
296,1,0,2,3,2,1,2
297,1,0,1,2,1,1,1
298,1,0,1,2,1,1,1
299,1,0,3,1,2,1,2
300,1,0,1,2,1,1,1
301,1,0,2,3,2,1,2
302,1,0,3,1,2,1,2
303,1,0,2,3,2,1,2
304,1,0,3,1,2,1,2
305,1,0,3,1,2,1,2
306,1,0,1,2,1,1,1
307,1,0,3,1,2,1,2
308,1,0,2,3,2,1,2
309,1,0,3,1,2,1,2
310,1,0,1,2,1,1,1
311,1,0,3,1,2,1,2
312,0,1,4,6,0,0,1
313,1,0,2,3,2,1,2
314,1,0,2,3,2,2,1
315,1,0,2,3,2,1,2
316,1,0,2,3,2,1,2
317,1,0,0,0,2,2,1
318,1,0,2,3,2,1,2
319,1,0,3,1,2,1,2
320,1,0,0,0,1,2,0
321,1,0,2,3,2,1,2
322,1,0,3,1,2,1,2
323,1,0,2,3,2,1,2
324,1,0,2,3,2,1,2
325,1,0,2,3,2,1,2
326,1,0,2,3,2,1,2
327,1,0,2,3,2,1,2
328,1,0,1,2,1,1,1
329,1,0,2,3,2,1,2
330,1,0,3,1,2,1,2
331,1,0,2,3,2,1,2
332,0,0,1,2,1,1,1
333,1,0,1,2,1,2,1
334,1,0,2,3,2,1,2
335,1,0,3,1,2,1,2
336,1,0,2,3,1,2,1
337,1,0,0,0,2,2,1
338,1,0,2,3,2,1,2
339,1,0,2,3,2,1,2
340,1,0,2,3,2,1,2
341,1,0,2,3,2,1,2
342,1,0,2,3,2,1,2
343,1,0,3,1,2,1,2
344,1,0,1,2,1,1,1
345,1,0,2,3,2,1,2
346,1,0,2,3,2,1,2
347,1,0,2,3,2,1,2
348,1,0,2,3,2,1,2
349,1,0,2,3,2,1,2
350,1,0,3,1,2,1,2
351,1,0,3,1,2,1,2
352,1,0,2,3,2,1,2
353,1,0,3,1,2,1,2
354,1,0,2,3,2,1,2
355,1,0,3,1,2,1,2
356,1,0,2,3,2,1,2
357,1,0,2,3,2,1,2
358,1,0,3,1,2,1,2
359,1,0,3,1,2,1,2
360,1,0,1,2,1,2,1
361,1,0,2,3,2,1,2
362,1,0,1,2,1,2,1
363,1,0,2,3,2,1,2
364,1,0,2,3,2,1,2
365,0,0,0,4,1,2,0
366,1,0,2,3,2,1,2
367,1,0,3,1,2,1,2
368,1,0,0,0,2,2,1
369,0,0,1,2,1,1,1
370,1,0,2,3,2,1,2
371,1,0,1,2,1,1,1
372,1,0,2,3,2,1,2
373,1,0,2,3,2,2,1
374,1,0,1,2,1,1,1
375,1,0,3,1,2,1,2
376,1,0,2,3,1,2,1
377,1,0,1,2,1,1,1
378,1,0,3,1,2,1,2
379,1,0,2,3,2,1,2
380,0,0,1,2,1,1,1
381,1,0,2,3,2,1,2
382,1,0,1,2,1,1,1
383,1,0,2,3,2,1,2
384,1,0,2,3,2,1,2
385,1,0,2,3,2,1,2
386,1,0,2,3,2,1,2
387,1,0,2,3,2,1,2
388,1,0,2,3,1,2,1
389,1,0,2,3,2,1,2
390,1,0,2,3,1,2,1
391,1,0,3,1,2,1,2
392,1,0,3,1,1,1,1
393,1,0,3,1,2,1,2
394,1,0,3,1,2,1,2
395,0,0,4,6,0,0,1
396,1,0,2,3,2,1,2
397,1,0,3,1,2,1,2
398,1,0,3,1,2,1,2
399,1,0,3,1,2,1,2
400,1,0,2,3,2,1,2
401,1,0,3,1,2,1,2
402,1,0,2,3,2,1,2
403,1,0,2,3,2,1,2
404,1,0,2,3,2,1,2
405,1,0,3,1,2,1,2
406,1,0,3,1,2,1,2
407,1,0,2,3,2,1,2
408,1,0,3,1,2,1,2
409,1,0,3,1,2,1,2
410,1,0,2,3,2,1,2
411,1,0,2,3,2,1,2
412,1,0,2,3,2,1,2
413,1,0,2,3,2,1,2
414,1,0,2,3,2,1,2
415,1,0,1,2,1,1,1
416,1,0,3,1,2,1,2
417,1,0,1,2,1,2,1
418,1,0,2,3,2,1,2
419,1,0,2,3,2,1,2
420,1,0,3,1,2,1,2
421,0,0,4,5,2,2,1
422,1,0,1,2,1,1,1
423,1,0,3,1,2,1,2
424,1,0,2,3,2,1,2
425,1,0,2,3,2,1,2
426,1,0,3,1,2,1,2
427,1,0,1,2,1,1,1
428,1,0,2,3,2,1,2
429,1,0,1,2,1,1,1
430,1,0,2,3,2,1,2
431,1,0,0,0,2,2,1
432,0,0,1,2,1,1,1
433,1,0,1,2,1,1,1
434,1,0,2,3,2,1,2
435,1,0,2,3,2,1,2
436,1,0,1,2,1,1,1
437,1,0,2,3,2,1,2
438,1,0,2,3,2,1,2
439,1,0,2,3,2,1,2
440,1,0,3,1,1,1,1
441,1,0,3,1,2,1,2
442,1,0,1,2,2,2,1
443,0,0,4,2,2,2,1
444,1,0,3,1,2,1,2
445,1,0,2,3,2,1,2
446,1,0,2,3,2,1,2
447,1,0,2,3,2,1,2
448,1,0,2,3,2,1,2
449,1,0,2,3,2,1,2
450,1,0,2,3,2,1,2
451,1,0,2,3,2,1,2
452,1,0,2,3,2,1,2
453,0,0,1,2,1,1,1
454,1,0,1,2,1,1,1
455,1,0,1,2,1,1,1
456,1,0,1,2,1,2,1
457,1,0,2,3,2,1,1
458,1,0,2,3,2,1,2
459,1,0,1,2,2,2,1
460,1,0,2,3,2,1,2
461,1,0,2,3,2,1,2
462,1,0,4,5,2,2,2
463,1,0,2,3,2,1,1
464,1,0,2,3,2,1,2
465,1,0,1,2,1,1,1
466,1,0,2,3,2,1,2
467,0,0,2,3,1,2,1
468,1,0,3,1,2,1,2
469,1,0,2,3,2,1,2
470,1,0,2,3,2,1,2
471,1,0,2,3,2,1,2
472,1,0,1,2,1,2,1
473,1,0,2,3,2,1,2
474,1,0,2,3,2,1,2
475,1,0,3,1,2,1,2
476,1,0,3,1,2,1,2
477,1,0,3,1,2,1,2
478,1,0,3,1,2,1,2
479,1,0,2,3,2,1,2
480,1,0,2,3,2,1,2
481,1,0,2,3,2,1,2
482,1,0,3,1,2,1,2
483,1,0,3,1,2,1,2
484,1,0,2,3,2,1,2
485,1,0,2,3,2,1,2
486,1,0,2,3,1,2,1
487,1,0,3,1,2,1,2
488,1,0,1,2,1,1,1
489,0,0,1,2,2,1,1
490,1,0,2,3,2,1,2
491,1,0,2,3,1,2,1
492,1,0,2,3,1,2,1
493,1,0,2,3,2,1,2
494,1,0,2,3,2,1,2
495,1,0,2,3,2,1,2
496,1,0,2,3,2,1,2
497,1,0,2,3,2,1,2
498,1,0,1,2,1,1,1
499,0,0,1,2,1,2,1
500,1,0,3,1,2,1,2
501,1,0,1,2,1,1,1
502,0,0,4,5,2,2,1
503,1,0,3,1,2,1,2
504,1,0,2,3,1,2,1
505,1,0,2,3,2,1,2
506,1,0,3,1,2,1,2
507,1,0,2,3,2,1,2
508,1,0,3,1,2,1,2
509,1,0,2,3,2,1,2
510,1,0,1,2,1,1,1
511,1,0,3,1,2,1,2
512,1,0,1,2,1,1,1
513,1,0,2,3,2,1,2
514,1,0,3,1,2,1,2
515,1,0,3,1,2,1,2
516,1,0,2,3,2,2,1
517,1,0,3,1,2,1,2
518,1,0,2,3,2,1,2
519,1,0,3,1,2,1,2
520,1,0,3,1,2,1,2
521,1,0,2,3,2,1,2
522,1,0,3,1,2,1,2
523,1,0,3,1,2,1,2
524,1,0,3,1,2,1,2
525,1,0,2,3,2,1,2
526,1,0,3,1,2,1,2
527,1,0,2,3,2,1,2
528,1,0,0,0,2,2,1
529,0,0,1,2,2,1,2
530,1,0,3,1,2,1,2
531,1,0,3,1,2,1,2
532,1,0,1,2,1,1,1
533,1,0,3,1,2,1,2
534,1,0,1,2,1,2,1
535,1,0,2,3,2,1,2
536,1,0,3,1,2,1,2
537,1,0,2,3,1,2,1
538,0,0,4,6,1,2,1
539,1,0,3,1,2,1,2
540,1,0,1,2,1,1,1
541,1,0,3,1,2,1,2
542,1,0,3,1,2,1,2
543,0,0,1,2,0,0,1
544,1,0,2,3,2,1,2
545,1,0,2,3,2,1,2
546,1,0,2,3,2,1,2
547,1,0,2,3,2,1,2
548,1,0,3,1,2,1,2
549,1,0,1,2,0,0,1
550,1,0,2,3,1,2,1
551,1,0,1,2,1,2,1
552,1,0,1,2,1,1,1
553,0,0,0,4,1,2,0
554,1,0,3,1,2,1,2
555,1,0,2,3,2,1,2
556,0,0,1,2,1,1,1
557,1,0,3,1,2,1,2
558,1,0,2,3,2,1,2
559,1,0,2,3,2,1,2
560,1,0,2,3,2,1,2
561,1,0,2,3,2,1,2
562,1,0,1,2,1,1,1
563,1,0,2,3,2,1,2
564,1,0,2,3,2,1,2
565,1,0,2,3,2,1,2
566,1,0,2,3,2,1,2
567,1,0,3,1,2,1,2
568,1,0,3,1,2,1,2
569,1,0,2,3,2,1,2
570,1,0,2,3,2,1,2
571,1,0,1,2,1,1,1
572,1,0,2,3,2,1,2
573,1,0,2,3,2,1,2
574,1,0,2,3,2,1,2
575,1,0,2,3,2,1,2
576,1,0,3,1,2,1,2
577,1,0,3,1,2,1,2
578,1,0,2,3,2,1,2
579,1,0,3,1,2,1,2
580,1,0,3,1,2,1,2
581,1,0,3,1,2,1,2
582,1,0,1,2,1,1,1
583,1,0,2,3,1,2,1
584,1,0,2,3,2,1,2
585,1,0,2,3,2,1,2
586,1,0,2,3,2,1,2
587,1,0,3,1,2,1,2
588,1,0,2,3,2,1,2
589,1,0,1,2,0,0,0
590,1,0,1,2,1,1,1
591,1,0,2,3,2,1,2
592,1,0,3,1,2,1,2
593,1,0,2,3,2,1,2
594,1,0,2,3,2,2,1
595,1,0,3,1,2,1,2
596,1,0,2,3,2,1,2
597,1,0,3,1,2,1,2
598,1,0,3,1,2,1,2
599,1,0,3,1,2,1,2
600,1,0,2,3,2,1,2
601,1,0,2,3,2,1,2
602,1,0,2,3,2,1,2
603,1,0,2,3,2,1,2
604,1,0,1,2,1,1,1
605,1,0,3,1,2,1,2
606,1,0,2,3,2,1,2
607,1,0,1,2,1,1,1
608,1,0,2,3,2,1,2
609,1,0,2,3,2,1,2
610,1,0,2,3,2,1,2
611,1,0,3,1,2,1,2
612,1,0,2,3,2,1,2
613,1,0,2,3,2,1,2
614,1,0,3,1,2,1,1
615,1,0,3,1,2,1,2
616,0,0,1,2,1,1,1
617,1,0,2,3,2,1,2
618,1,0,2,3,2,1,2
619,1,0,2,3,2,1,2
620,1,0,2,3,2,1,2
621,1,0,2,3,1,2,1
622,1,0,1,2,1,1,1
623,1,0,0,0,1,2,0
624,0,0,1,2,1,1,1
625,1,0,3,1,2,1,2
626,1,0,3,1,2,1,2
627,1,0,2,3,2,1,2
628,1,0,2,3,2,1,2
629,1,0,2,3,2,1,2
630,1,0,3,1,2,1,2
631,1,0,3,1,2,1,2
632,1,0,1,2,1,2,1
633,1,0,2,3,2,1,2
634,1,0,1,2,1,1,1
635,0,0,4,6,0,0,1
636,1,0,3,1,2,1,2
637,1,0,2,3,2,1,2
638,1,0,2,3,2,1,2
639,0,0,4,6,0,0,1
640,0,0,1,2,1,1,1
641,1,0,2,3,2,1,2
642,1,0,2,3,2,1,2
643,0,0,4,6,1,1,1
644,1,0,2,3,2,1,2
645,1,0,2,3,2,1,2
646,0,0,1,2,1,1,1
647,1,0,3,1,2,1,2
648,1,0,1,2,0,0,1
649,1,0,3,1,2,1,2
650,1,0,2,3,2,1,2
651,1,0,3,1,2,1,2
652,1,0,2,3,2,1,2
653,1,0,2,3,2,1,2
654,1,0,2,3,2,1,2
655,1,0,2,3,2,1,2
656,0,0,4,5,2,1,1
657,1,0,3,1,2,1,2
658,1,0,2,3,2,1,2
659,1,0,2,3,2,1,2
660,1,0,1,2,1,1,1
661,1,0,2,3,2,1,2
662,1,0,2,3,2,1,2
663,1,0,2,3,2,1,2
664,1,0,1,2,1,1,1
665,1,0,1,2,1,1,1
666,0,0,4,6,0,0,1
667,1,0,1,2,1,1,1
668,1,0,2,3,2,1,2
669,1,0,1,2,1,1,1
670,1,0,1,2,1,1,1
671,1,0,3,1,2,1,2
672,1,0,2,3,2,1,2
673,0,0,1,2,1,1,1
674,1,0,3,1,2,1,2
675,1,0,3,1,2,1,2
676,1,0,1,2,0,0,1
677,1,0,2,3,2,1,2
678,1,0,1,2,1,1,1
679,1,0,0,0,2,2,1
680,1,0,2,3,2,1,2
681,1,0,3,1,2,1,2
682,1,0,1,2,1,1,1
683,1,0,1,2,1,1,1
684,1,0,1,2,1,2,1
685,1,0,3,1,2,1,2
686,1,0,2,3,2,1,2
687,1,0,2,3,1,2,1
688,1,0,3,1,2,1,2
689,1,0,3,1,2,1,2
690,1,0,2,3,2,1,2
691,0,0,4,6,0,0,1
692,1,0,2,3,2,1,2
693,1,0,2,3,2,1,2
694,1,0,2,3,2,1,2
695,1,0,1,2,1,1,1
696,1,0,2,3,2,1,2
697,1,0,2,3,2,1,2
698,1,0,2,3,2,2,1
699,1,0,1,2,1,2,1
700,1,0,3,1,2,1,2
701,1,0,1,2,1,1,1
702,1,0,2,3,2,1,2
703,1,0,3,1,2,1,2
704,1,0,3,1,2,1,2
705,0,0,4,5,1,1,1
706,1,0,2,3,2,1,2
707,1,0,1,2,1,1,1
708,1,0,2,3,2,1,2
709,1,0,2,3,2,1,2
710,1,0,2,3,2,1,2
711,1,0,1,2,1,1,1
712,1,0,2,3,2,1,2
713,1,0,1,2,1,2,1
714,1,0,2,3,2,1,2
715,1,0,1,2,1,1,1
716,1,0,3,1,2,1,2
717,1,0,2,3,2,1,2
718,1,0,0,0,1,2,0
719,1,0,3,1,2,1,2
720,1,0,2,3,2,1,2
721,1,0,1,2,1,1,1
722,1,0,3,1,2,1,2
723,1,0,2,3,2,1,2
724,1,0,0,0,2,2,1
725,1,0,3,1,2,1,2
726,1,0,2,3,2,1,2
727,1,0,3,1,2,1,2
728,1,0,2,3,1,2,1
729,1,0,1,2,0,0,1
730,1,0,2,3,2,1,2
731,0,0,2,3,1,2,1
732,1,0,2,3,2,1,2
733,1,0,2,3,2,1,2
734,1,0,3,1,2,1,2
735,1,0,1,2,1,1,1
736,1,0,2,3,2,1,2
737,1,0,2,3,2,1,2
738,1,0,2,3,2,1,2
739,1,0,1,2,1,1,1
740,1,0,2,3,2,1,2
741,1,0,2,3,2,1,2
742,1,0,2,3,2,1,2
743,1,0,3,1,1,1,1
744,1,0,2,3,2,1,2
745,1,0,2,3,2,1,2
746,1,0,2,3,2,1,2
747,1,0,2,3,2,1,2
748,1,0,2,3,2,1,2
749,1,0,3,1,2,1,2
750,1,0,2,3,2,1,2
751,1,0,3,1,2,1,2
752,0,0,1,2,1,1,1
753,1,0,2,3,2,1,2
754,1,0,2,3,2,1,2
755,1,0,3,1,2,1,2
756,1,0,2,3,2,1,2
757,1,0,3,1,2,1,2
758,1,0,2,3,2,1,2
759,1,0,2,3,2,1,2
760,1,0,1,2,1,1,1
761,1,0,2,3,2,1,2
762,1,0,2,3,2,1,2
763,1,0,1,2,1,2,1
764,1,0,1,2,1,1,1
765,1,0,2,3,2,1,2
766,1,0,2,3,2,1,2
767,1,0,2,3,2,1,2
768,1,0,3,1,2,1,2
769,1,0,2,3,2,1,2
770,1,0,1,2,1,1,1
771,1,0,3,1,2,1,2
772,1,0,2,3,2,1,2
773,1,0,3,1,2,1,2
774,1,0,2,3,2,1,2
775,1,0,2,3,1,2,1
776,1,0,3,1,2,1,2
777,1,0,2,3,2,1,2
778,1,0,1,2,1,2,1
779,1,0,2,3,2,1,2
780,1,0,1,2,1,1,1
781,1,0,3,1,2,1,2
782,1,0,1,2,1,2,1
783,1,0,2,3,2,1,2
784,0,0,4,5,0,0,1
785,1,0,1,2,1,1,1
786,1,0,1,2,1,1,1
787,1,0,2,3,2,1,2
788,1,0,2,3,2,1,2
789,1,0,2,3,2,1,2
790,1,0,2,3,2,1,2
791,1,0,2,3,2,1,2
792,1,0,2,3,2,1,2
793,1,0,2,3,2,1,2
794,1,0,2,3,1,2,1
795,1,0,2,3,2,1,1
796,1,0,4,5,2,2,2
797,1,0,1,2,0,0,1
798,1,0,3,1,2,1,2
799,1,0,2,3,2,1,2
800,1,0,2,3,2,1,2
801,1,0,3,1,2,1,2
802,1,0,1,2,1,1,1
803,1,0,1,2,1,1,1
804,1,0,2,3,2,1,2
805,1,0,2,3,2,1,2
806,1,0,0,0,1,2,0
807,1,0,1,2,1,1,1
808,1,0,2,3,2,1,2
809,1,0,1,2,1,1,1
810,1,0,2,3,2,1,2
811,1,0,2,3,2,1,2
812,1,0,2,3,2,1,2
813,1,0,2,3,1,1,1
814,1,0,1,2,1,1,1
815,1,0,3,1,2,1,2
816,0,0,1,2,0,0,1
817,0,0,2,3,1,2,1
818,1,0,2,3,2,1,2
819,1,0,2,3,2,1,2
820,1,0,1,2,1,2,1
821,0,0,4,6,1,2,1
822,0,0,1,2,1,1,1
823,1,0,3,1,2,1,2
824,1,0,2,3,2,1,2
825,1,0,2,3,2,1,2
826,1,0,2,3,1,2,1
827,1,0,2,3,2,1,2
828,1,0,1,2,1,2,1
829,1,0,2,3,1,2,1
830,1,0,2,3,2,1,2
831,1,0,2,3,2,2,1
832,1,0,2,3,2,1,2
833,1,0,2,3,2,1,2
834,1,0,2,3,2,1,2
835,1,0,2,3,1,1,1
836,1,0,2,3,2,1,2
837,1,0,1,2,1,1,1
838,1,0,3,1,2,1,2
839,1,0,2,3,2,1,2
840,1,0,2,3,2,1,2
841,1,0,1,2,1,1,1
842,1,0,2,3,2,2,1
843,1,0,2,3,2,1,2
844,1,0,0,0,1,2,0
845,1,0,2,3,2,1,2
846,1,0,1,2,1,1,1
847,1,0,3,1,2,1,2
848,1,0,2,3,2,1,2
849,1,0,2,3,2,1,2
850,1,0,2,3,2,1,2
851,1,0,3,1,1,1,1
852,1,0,2,3,2,1,2
853,1,0,1,2,1,2,1
854,1,0,1,2,1,1,1
855,1,0,1,2,1,1,1
856,1,0,3,1,2,1,2
857,1,0,2,3,1,2,1
858,1,0,1,2,1,2,1
859,1,0,2,3,2,1,2
860,1,0,3,1,2,1,2
861,1,0,1,2,1,1,1
862,1,0,3,1,2,1,2
863,1,0,2,3,2,1,2
864,1,0,1,2,1,1,1
865,0,0,1,2,0,0,1
866,1,0,2,3,2,1,2
867,1,0,2,3,2,1,2
868,1,0,1,2,1,1,1
